,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
RAP1GDS1.rescaled,5315.5,5268.5,5267.5,10462.0,1873.0,1656.0,1237.0,1352.0,32431.5,0.7330018712017089
GPBP1.rescaled,5315.5,5268.5,5267.5,5315.5,2681.0,3076.0,2832.0,2680.0,32436.0,0.7329646127606021
ZNF860.rescaled,5315.5,5268.5,5267.5,5315.5,2773.0,3252.0,3135.0,2112.0,32439.0,0.7329397737998642
ZNF266.rescaled,5315.5,5268.5,5267.5,5315.5,2997.0,2852.0,2984.0,2441.0,32441.0,0.7329232144927056
C6orf62.rescaled,5315.5,5268.5,5267.5,5315.5,3434.0,2635.0,2326.0,2879.0,32441.0,0.7329232144927056
UQCRHL.rescaled,10495.0,5268.5,5267.5,5315.5,1227.0,1585.0,1797.0,1492.0,32447.5,0.7328693967444402
ZNF136.rescaled,5315.5,5268.5,5267.5,5315.5,2735.0,2737.0,3125.0,2690.0,32454.0,0.7328155789961748
AKAP5.rescaled,5315.5,5268.5,5267.5,5315.5,2713.0,2701.0,2086.0,3795.0,32462.0,0.7327493417675404
MZF1.rescaled,5315.5,5268.5,5267.5,5315.5,2545.0,3025.0,2689.0,3044.0,32470.0,0.7326831045389062
SELPLG.rescaled,5315.5,5268.5,5267.5,5315.5,3017.0,1949.0,4513.0,1829.0,32475.0,0.7326417062710096
MDFI.rescaled,5315.5,5268.5,5267.5,5315.5,2232.0,3298.0,2040.0,3744.0,32481.0,0.7325920283495339
NAT14.rescaled,5315.5,5268.5,5267.5,5315.5,2680.0,3122.0,2782.0,2735.0,32486.0,0.7325506300816373
NCBP1.rescaled,5315.5,5268.5,5267.5,5315.5,2815.0,3249.0,2949.0,2307.0,32487.0,0.7325423504280582
GGN.rescaled,5315.5,5268.5,5267.5,5315.5,2779.0,2940.0,2810.0,2792.0,32488.0,0.7325340707744787
BRI3BP.rescaled,5315.5,5268.5,5267.5,5315.5,2361.0,2611.0,3352.0,2998.0,32489.0,0.7325257911208995
LCP1.rescaled,5315.5,5268.5,5267.5,5315.5,2505.0,3060.0,3321.0,2438.0,32491.0,0.732509231813741
GMPS.rescaled,5315.5,5268.5,5267.5,5315.5,3449.0,2325.0,2842.0,2708.0,32491.0,0.732509231813741
MRPS16.rescaled,5315.5,5268.5,5267.5,5315.5,2955.0,3068.0,2548.0,2764.0,32502.0,0.7324181556243687
ABHD16B.rescaled,5315.5,5268.5,5267.5,5315.5,3244.0,2930.0,2615.0,2550.0,32506.0,0.7323850370100515
RLN1.rescaled,5315.5,5268.5,5267.5,5315.5,3248.0,2966.0,2720.0,2432.0,32533.0,0.7321614863634105
MYOM2.rescaled,5315.5,5268.5,5267.5,550.0,3766.0,3636.0,4199.0,4536.0,32538.5,0.7321159482687245
ARMC5.rescaled,5315.5,5268.5,5267.5,5315.5,2061.0,2329.0,4173.0,2811.0,32541.0,0.7320952491347762
PGGT1B.rescaled,5315.5,5268.5,5267.5,5315.5,2603.0,3156.0,2932.0,2684.0,32542.0,0.7320869694811969
TOMM7.rescaled,5315.5,5268.5,5267.5,5315.5,3120.0,2719.0,2978.0,2576.0,32560.0,0.7319379357167697
SLC39A11.rescaled,5315.5,5268.5,5267.5,5315.5,3666.0,3365.0,2640.0,1732.0,32570.0,0.7318551391809767
ATN1.rescaled,5315.5,5268.5,5267.5,5315.5,2552.0,3250.0,2874.0,2728.0,32571.0,0.7318468595273974
PAK6.rescaled,154.0,533.5,196.0,206.5,11031.0,2396.0,8996.0,9068.0,32581.0,0.7317640629916045
VPS26A.rescaled,5315.5,5268.5,5267.5,5315.5,2511.0,3259.0,3078.0,2567.0,32582.0,0.7317557833380252
PRX.rescaled,5315.5,5268.5,5267.5,5315.5,2729.0,3147.0,2934.0,2608.0,32585.0,0.7317309443772873
SULT1B1.rescaled,5315.5,5268.5,5267.5,5315.5,2354.0,2799.0,3703.0,2574.0,32597.0,0.7316315885343357
AKAP9.rescaled,5315.5,5268.5,5267.5,5315.5,2000.0,3338.0,3156.0,2953.0,32614.0,0.7314908344234877
PTPRQ.rescaled,5315.5,5268.5,5267.5,5315.5,3134.0,2973.0,3011.0,2330.0,32615.0,0.7314825547699084
ZBTB9.rescaled,5315.5,5268.5,5267.5,5315.5,2651.0,2570.0,2786.0,3443.0,32617.0,0.7314659954627498
SLC35B1.rescaled,5315.5,5268.5,5267.5,5315.5,2897.0,2916.0,2578.0,3074.0,32632.0,0.7313418006590604
CCDC62.rescaled,5315.5,5268.5,5267.5,5315.5,1901.0,3202.0,2905.0,3470.0,32645.0,0.7312341651625296
MGAT2.rescaled,5315.5,5268.5,5267.5,5315.5,3619.0,2641.0,2612.0,2612.0,32651.0,0.7311844872410538
DIAPH1.rescaled,5315.5,5268.5,5267.5,5315.5,3423.0,2761.0,3028.0,2277.0,32656.0,0.7311430889731574
AFF1.rescaled,5315.5,5268.5,5267.5,5315.5,3334.0,3366.0,2555.0,2235.0,32657.0,0.7311348093195781
MED25.rescaled,5315.5,5268.5,5267.5,5315.5,2917.0,3169.0,3001.0,2415.0,32669.0,0.7310354534766266
DSE.rescaled,5315.5,5268.5,5267.5,5315.5,3161.0,2996.0,2682.0,2676.0,32682.0,0.7309278179800958
C5orf22.rescaled,5315.5,5268.5,5267.5,5315.5,3317.0,1788.0,3165.0,3250.0,32687.0,0.7308864197121993
CLIC2.rescaled,5315.5,5268.5,5267.5,5315.5,2874.0,2888.0,2845.0,2925.0,32699.0,0.7307870638692477
ZNF219.rescaled,5315.5,5268.5,5267.5,5315.5,3671.0,2023.0,2051.0,3793.0,32705.0,0.7307373859477719
THAP9.rescaled,5315.5,5268.5,5267.5,5315.5,2560.0,2828.0,3271.0,2898.0,32724.0,0.7305800725297653
TLE1.rescaled,5315.5,5268.5,5267.5,5315.5,2555.0,3312.0,3345.0,2352.0,32731.0,0.7305221149547103
LAMP5.rescaled,5315.5,5268.5,5267.5,5315.5,3409.0,2988.0,2678.0,2502.0,32744.0,0.7304144794581795
FAM98C.rescaled,5315.5,5268.5,5267.5,5315.5,2745.0,2987.0,2859.0,2992.0,32750.0,0.7303648015367037
ZNF878.rescaled,5315.5,5268.5,5267.5,5315.5,3166.0,3939.0,2616.0,1882.0,32770.0,0.7301992084651179
PAIP2B.rescaled,5315.5,5268.5,5267.5,5315.5,2784.0,3058.0,2956.0,2809.0,32774.0,0.7301660898508007
COL6A6.rescaled,362.5,354.5,263.0,550.0,5203.0,11883.0,8078.0,6090.0,32784.0,0.7300832933150077
ADH1C.rescaled,5315.5,5268.5,5267.5,5315.5,2982.0,2879.0,2695.0,3064.0,32787.0,0.7300584543542699
ZNF547.rescaled,5315.5,5268.5,5267.5,5315.5,2764.0,3017.0,2954.0,2892.0,32794.0,0.7300004967792147
C2CD2L.rescaled,5315.5,5268.5,5267.5,5315.5,3140.0,3148.0,2652.0,2689.0,32796.0,0.7299839374720561
MANEAL.rescaled,5315.5,5268.5,5267.5,5315.5,3568.0,2855.0,2761.0,2458.0,32809.0,0.7298763019755253
ZNF789.rescaled,5315.5,5268.5,5267.5,5315.5,3135.0,2510.0,2876.0,3121.0,32809.0,0.7298763019755253
ZNF568.rescaled,5315.5,5268.5,5267.5,5315.5,3101.0,2642.0,2997.0,2904.0,32811.0,0.7298597426683667
APOBEC3H.rescaled,5315.5,5268.5,5267.5,5315.5,3019.0,2757.0,2862.0,3023.0,32828.0,0.7297189885575188
PHLPP1.rescaled,5315.5,5268.5,5267.5,10462.0,1240.0,1632.0,2125.0,1526.0,32836.5,0.7296486115020948
NMD3.rescaled,5315.5,5268.5,5267.5,5315.5,2977.0,3018.0,2846.0,2831.0,32839.0,0.7296279123681465
COQ7.rescaled,5315.5,5268.5,10433.5,5315.5,1615.0,1650.0,1549.0,1695.0,32842.0,0.7296030734074086
DCUN1D2.rescaled,5315.5,5268.5,524.5,5315.5,3582.0,3324.0,5628.0,3886.0,32844.0,0.72958651410025
BNIP3.rescaled,5315.5,5268.5,5267.5,5315.5,2953.0,2695.0,2906.0,3143.0,32864.0,0.7294209210286642
APOC1.rescaled,5315.5,5268.5,5267.5,5315.5,3981.0,3596.0,2138.0,1989.0,32871.0,0.7293629634536092
DCLK1.rescaled,5315.5,5268.5,5267.5,5315.5,2998.0,2571.0,2670.0,3466.0,32872.0,0.7293546838000298
ST8SIA6.rescaled,5315.5,5268.5,5267.5,5315.5,3465.0,2791.0,2945.0,2510.0,32878.0,0.7293050058785541
DYNC2LI1.rescaled,264.0,5268.5,5267.5,550.0,3401.0,2964.0,10663.0,4523.0,32901.0,0.7291145738462304
HPDL.rescaled,5315.5,5268.5,524.5,277.0,5696.0,3888.0,7684.0,4248.0,32901.5,0.7291104340194406
IMPACT.rescaled,5315.5,5268.5,5267.5,5315.5,2849.0,2834.0,3172.0,2889.0,32911.0,0.7290317773104373
CHEK1.rescaled,5315.5,5268.5,10433.5,5315.5,1905.0,1305.0,1683.0,1701.0,32927.0,0.7288993028531686
UAP1L1.rescaled,5315.5,5268.5,5267.5,5315.5,4039.0,2549.0,3019.0,2153.0,32927.0,0.7288993028531686
CLEC9A.rescaled,5315.5,5268.5,5267.5,5315.5,2463.0,3413.0,3305.0,2582.0,32930.0,0.7288744638924307
PPME1.rescaled,197.0,5268.5,5267.5,550.0,3075.0,4395.0,7165.0,7013.0,32931.0,0.7288661842388515
C11orf45.rescaled,5315.5,5268.5,5267.5,5315.5,2739.0,2200.0,2476.0,4350.0,32932.0,0.7288579045852721
TMEM63B.rescaled,5315.5,5268.5,5267.5,5315.5,2970.0,2810.0,2947.0,3041.0,32935.0,0.7288330656245343
CD300A.rescaled,5315.5,5268.5,5267.5,5315.5,3378.0,2564.0,3166.0,2660.0,32935.0,0.7288330656245343
MTHFSD.rescaled,5315.5,5268.5,5267.5,5315.5,3454.0,2482.0,2739.0,3101.0,32943.0,0.7287668283958999
ICAM4.rescaled,5315.5,5268.5,5267.5,5315.5,2842.0,3171.0,3399.0,2365.0,32944.0,0.7287585487423206
MTX1.rescaled,5315.5,5268.5,5267.5,5315.5,2967.0,2773.0,3005.0,3040.0,32952.0,0.7286923115136863
APBB1.rescaled,5315.5,5268.5,5267.5,5315.5,3408.0,3255.0,1928.0,3204.0,32962.0,0.7286095149778933
GUCY2D.rescaled,5315.5,5268.5,5267.5,5315.5,2522.0,2901.0,4063.0,2317.0,32970.0,0.728543277749259
RYR1.rescaled,5315.5,5268.5,5267.5,5315.5,2886.0,2234.0,3223.0,3462.0,32972.0,0.7285267184421004
KLHDC2.rescaled,5315.5,5268.5,5267.5,10462.0,1006.0,3621.0,1089.0,945.0,32974.5,0.7285060193081521
RNF19A.rescaled,5315.5,5268.5,5267.5,5315.5,2928.0,2819.0,3066.0,3004.0,32984.0,0.7284273625991489
GSTT2B.rescaled,5315.5,5268.5,5267.5,5315.5,2570.0,2743.0,3023.0,3489.0,32992.0,0.7283611253705145
EFCAB7.rescaled,5315.5,5268.5,5267.5,5315.5,3165.0,2371.0,3583.0,2710.0,32996.0,0.7283280067561972
RNF113B.rescaled,5315.5,5268.5,5267.5,5315.5,3024.0,2952.0,2999.0,2859.0,33001.0,0.7282866084883008
TK2.rescaled,5315.5,5268.5,5267.5,5315.5,2577.0,3918.0,2021.0,3327.0,33010.0,0.7282120916060872
NSD1.rescaled,5315.5,5268.5,5267.5,5315.5,3276.0,2774.0,2649.0,3167.0,33033.0,0.7280216595737634
C6orf163.rescaled,5315.5,5268.5,5267.5,5315.5,2429.0,2288.0,2754.0,4403.0,33041.0,0.727955422345129
RGPD2.rescaled,5315.5,5268.5,5267.5,5315.5,3458.0,2618.0,2583.0,3217.0,33043.0,0.7279388630379705
CTDP1.rescaled,5315.5,5268.5,5267.5,5315.5,4186.0,2572.0,2454.0,2675.0,33054.0,0.7278477868485982
PECR.rescaled,5315.5,5268.5,5267.5,5315.5,2814.0,2980.0,3073.0,3030.0,33064.0,0.7277649903128054
ADAM15.rescaled,5315.5,5268.5,5267.5,5315.5,2586.0,3669.0,2855.0,2789.0,33066.0,0.7277484310056468
PTPRJ.rescaled,5315.5,5268.5,5267.5,5315.5,2711.0,2845.0,3213.0,3150.0,33086.0,0.7275828379340609
APOBEC3G.rescaled,5315.5,5268.5,5267.5,5315.5,2850.0,3034.0,3359.0,2695.0,33105.0,0.7274255245160542
FUNDC1.rescaled,5315.5,5268.5,5267.5,5315.5,2878.0,2972.0,3167.0,2922.0,33106.0,0.7274172448624749
CCDC39.rescaled,5315.5,5268.5,5267.5,5315.5,3005.0,3424.0,2858.0,2653.0,33107.0,0.7274089652088956
CCT6B.rescaled,5315.5,5268.5,5267.5,5315.5,2825.0,2310.0,2895.0,3925.0,33122.0,0.7272847704052062
MMP3.rescaled,5315.5,5268.5,5267.5,5315.5,2979.0,2683.0,3355.0,2941.0,33125.0,0.7272599314444683
NR1I2.rescaled,540.0,5268.5,5267.5,5315.5,3955.0,4598.0,3980.0,4207.0,33131.5,0.7272061136962029
DUSP28.rescaled,5315.5,5268.5,5267.5,5315.5,3071.0,3392.0,1988.0,3530.0,33148.0,0.7270694994121446
NMNAT2.rescaled,5315.5,5268.5,5267.5,5315.5,2564.0,3339.0,3159.0,2946.0,33175.0,0.7268459487655037
MAP3K1.rescaled,5315.5,5268.5,5267.5,5315.5,2780.0,3850.0,2785.0,2601.0,33183.0,0.7267797115368693
UNC5A.rescaled,5315.5,5268.5,5267.5,5315.5,3614.0,2677.0,3264.0,2473.0,33195.0,0.7266803556939178
TCF7L2.rescaled,5315.5,5268.5,5267.5,5315.5,3702.0,2520.0,3175.0,2664.0,33228.0,0.726407127125801
TAP2.rescaled,5315.5,5268.5,5267.5,5315.5,3146.0,2301.0,3391.0,3224.0,33229.0,0.7263988474722218
CDH8.rescaled,5315.5,5268.5,5267.5,5315.5,2726.0,2548.0,3295.0,3498.0,33234.0,0.7263574492043252
RASSF8.rescaled,5315.5,5268.5,5267.5,5315.5,2722.0,3203.0,3579.0,2568.0,33239.0,0.7263160509364288
IGSF8.rescaled,5315.5,5268.5,5267.5,5315.5,3356.0,2981.0,3463.0,2274.0,33241.0,0.7262994916292702
ZFP14.rescaled,5315.5,5268.5,5267.5,5315.5,3082.0,3109.0,2942.0,2943.0,33243.0,0.7262829323221116
POTED.rescaled,5315.5,5268.5,5267.5,5315.5,3633.0,2489.0,3102.0,2852.0,33243.0,0.7262829323221116
APBA2.rescaled,5315.5,5268.5,5267.5,371.0,3418.0,2682.0,4932.0,5999.0,33253.5,0.726195995959529
KCNQ1.rescaled,10495.0,5268.5,5267.5,10462.0,405.0,358.0,527.0,476.0,33259.0,0.726150457864843
SLC13A1.rescaled,5315.5,5268.5,5267.5,5315.5,2971.0,3015.0,3024.0,3084.0,33261.0,0.7261338985576844
LIPE.rescaled,540.0,11811.0,11275.5,5315.5,1524.0,507.0,1151.0,1145.0,33269.0,0.72606766132905
RHOBTB2.rescaled,5315.5,5268.5,5267.5,5315.5,2611.0,3736.0,2894.0,2874.0,33282.0,0.7259600258325192
ARHGEF15.rescaled,5315.5,5268.5,5267.5,5315.5,2654.0,2873.0,3684.0,2908.0,33286.0,0.725926907218202
UCHL1.rescaled,5315.5,5268.5,5267.5,5315.5,2864.0,3276.0,3077.0,2905.0,33289.0,0.7259020682574642
ARL4D.rescaled,5315.5,5268.5,5267.5,5315.5,3198.0,2730.0,3257.0,2944.0,33296.0,0.7258441106824091
CCNL1.rescaled,5315.5,5268.5,5267.5,5315.5,3286.0,2912.0,3384.0,2548.0,33297.0,0.7258358310288298
CEP97.rescaled,5315.5,5268.5,5267.5,5315.5,2824.0,3363.0,3163.0,2786.0,33303.0,0.725786153107354
PPP6R1.rescaled,5315.5,5268.5,5267.5,5315.5,2958.0,3676.0,2748.0,2757.0,33306.0,0.7257613141466162
BZW2.rescaled,5315.5,5268.5,5267.5,5315.5,2981.0,2898.0,2455.0,3810.0,33311.0,0.7257199158787196
ZNF74.rescaled,5315.5,5268.5,5267.5,5315.5,2952.0,3561.0,2647.0,2984.0,33311.0,0.7257199158787196
C9orf72.rescaled,5315.5,5268.5,5267.5,5315.5,2631.0,2615.0,3505.0,3403.0,33321.0,0.7256371193429267
FAM81B.rescaled,5315.5,5268.5,5267.5,5315.5,8138.0,1384.0,1585.0,1050.0,33324.0,0.7256122803821888
SERPINE2.rescaled,5315.5,5268.5,5267.5,5315.5,3225.0,3161.0,2893.0,2884.0,33330.0,0.725562602460713
SLITRK4.rescaled,5315.5,5268.5,5267.5,5315.5,2938.0,2917.0,3046.0,3266.0,33334.0,0.7255294838463959
ABI3.rescaled,10495.0,5268.5,5267.5,5315.5,1220.0,2479.0,1093.0,2197.0,33335.5,0.7255170643660269
DLL3.rescaled,5315.5,5268.5,5267.5,5315.5,2826.0,3251.0,3202.0,2895.0,33341.0,0.7254715262713408
SPCS2.rescaled,5315.5,5268.5,5267.5,5315.5,3051.0,3209.0,3116.0,2805.0,33348.0,0.7254135686962857
ATP8A1.rescaled,5315.5,5268.5,5267.5,5315.5,2670.0,3660.0,3195.0,2659.0,33351.0,0.7253887297355479
PTGER4.rescaled,5315.5,5268.5,5267.5,5315.5,3132.0,2860.0,3371.0,2825.0,33355.0,0.7253556111212307
SIGLEC12.rescaled,5315.5,164.0,263.0,550.0,8188.0,10122.0,6322.0,2455.0,33379.5,0.725152759608538
DAND5.rescaled,5315.5,5268.5,5267.5,5315.5,3450.0,2787.0,2912.0,3068.0,33384.0,0.7251155011674312
SPIN2B.rescaled,5315.5,5268.5,5267.5,5315.5,3519.0,2306.0,2888.0,3517.0,33397.0,0.7250078656709003
FSD2.rescaled,5315.5,5268.5,5267.5,5315.5,3270.0,3083.0,3363.0,2514.0,33397.0,0.7250078656709003
MS4A1.rescaled,5315.5,5268.5,5267.5,5315.5,3600.0,2409.0,3776.0,2447.0,33399.0,0.7249913063637418
HINT2.rescaled,5315.5,5268.5,5267.5,5315.5,3116.0,2963.0,2563.0,3590.0,33399.0,0.7249913063637418
TTYH1.rescaled,197.0,164.0,354.5,206.5,8477.0,6848.0,7631.0,9522.0,33400.0,0.7249830267101625
MRS2.rescaled,5315.5,5268.5,5267.5,5315.5,2701.0,3177.0,3351.0,3007.0,33403.0,0.7249581877494246
SYN1.rescaled,5315.5,5268.5,5267.5,5315.5,2595.0,2862.0,3373.0,3417.0,33414.0,0.7248671115600523
SLC5A5.rescaled,5315.5,5268.5,5267.5,5315.5,3035.0,2429.0,4114.0,2671.0,33416.0,0.7248505522528937
LRCH1.rescaled,5315.5,5268.5,5267.5,5315.5,3074.0,2895.0,3050.0,3234.0,33420.0,0.7248174336385765
GPSM3.rescaled,5315.5,5268.5,5267.5,5315.5,2932.0,2659.0,2819.0,3846.0,33423.0,0.7247925946778386
NRN1L.rescaled,5315.5,5268.5,5267.5,5315.5,2643.0,2565.0,3803.0,3251.0,33429.0,0.7247429167563629
KLHDC8A.rescaled,5315.5,5268.5,5267.5,5315.5,2760.0,3335.0,3009.0,3163.0,33434.0,0.7247015184884664
LRP12.rescaled,5315.5,5268.5,5267.5,5315.5,2934.0,3101.0,2922.0,3316.0,33440.0,0.7246518405669906
CLIC5.rescaled,5315.5,5268.5,5267.5,5315.5,2663.0,2984.0,3430.0,3208.0,33452.0,0.7245524847240392
MTDH.rescaled,5315.5,5268.5,5267.5,10462.0,1683.0,1700.0,2195.0,1567.0,33458.5,0.7244986669757738
MARCO.rescaled,154.0,213.5,263.0,128.5,7555.0,11063.0,9115.0,4971.0,33463.0,0.7244614085346669
PCDHB2.rescaled,10495.0,10450.5,5267.5,5315.5,554.0,435.0,589.0,361.0,33467.5,0.7244241500935601
NUF2.rescaled,5315.5,10450.5,5267.5,10462.0,604.0,454.0,394.0,530.0,33477.5,0.7243413535577672
ZNF586.rescaled,5315.5,5268.5,5267.5,5315.5,2963.0,2967.0,3403.0,2979.0,33479.0,0.7243289340773982
FMN1.rescaled,5315.5,5268.5,10433.5,5315.5,2095.0,1954.0,2107.0,992.0,33481.0,0.7243123747702396
PSMB9.rescaled,5315.5,5268.5,5267.5,5315.5,3447.0,3129.0,3110.0,2636.0,33489.0,0.7242461375416053
CBX6.rescaled,5315.5,5268.5,5267.5,5315.5,3124.0,3003.0,2334.0,3861.0,33489.0,0.7242461375416053
NDUFS2.rescaled,5315.5,5268.5,5267.5,5315.5,2787.0,4172.0,2774.0,2593.0,33493.0,0.7242130189272881
NEURL4.rescaled,5315.5,5268.5,5267.5,5315.5,3267.0,2936.0,2850.0,3281.0,33501.0,0.7241467816986538
DNAJC25.rescaled,5315.5,5268.5,5267.5,5315.5,2935.0,2691.0,3339.0,3388.0,33520.0,0.7239894682806471
OR2B6.rescaled,5315.5,5268.5,5267.5,5315.5,4287.0,2660.0,2998.0,2408.0,33520.0,0.7239894682806471
SEC62.rescaled,5315.5,5268.5,5267.5,5315.5,4020.0,2710.0,3132.0,2492.0,33521.0,0.7239811886270678
ABCB9.rescaled,5315.5,5268.5,5267.5,5315.5,2794.0,3385.0,3605.0,2573.0,33524.0,0.7239563496663299
C4orf33.rescaled,5315.5,5268.5,5267.5,5315.5,4330.0,2480.0,2590.0,2964.0,33531.0,0.7238983920912749
ACOX2.rescaled,5315.5,5268.5,5267.5,5315.5,2666.0,3873.0,2445.0,3381.0,33532.0,0.7238901124376956
PAWR.rescaled,5315.5,5268.5,5267.5,5315.5,3373.0,2867.0,2733.0,3393.0,33533.0,0.7238818327841163
VAT1.rescaled,5315.5,5268.5,5267.5,5315.5,3057.0,3525.0,3390.0,2397.0,33536.0,0.7238569938233784
PRR5.rescaled,5315.5,5268.5,5267.5,5315.5,3149.0,2742.0,3276.0,3207.0,33541.0,0.7238155955554819
FNDC5.rescaled,5315.5,10450.5,10433.5,5315.5,385.0,642.0,471.0,540.0,33553.0,0.7237162397125304
PLEKHB1.rescaled,5315.5,5268.5,5267.5,5315.5,2405.0,5639.0,2543.0,1808.0,33562.0,0.7236417228303168
SLC7A1.rescaled,5315.5,5268.5,5267.5,5315.5,3805.0,2884.0,3089.0,2617.0,33562.0,0.7236417228303168
SIRPB1.rescaled,5315.5,5268.5,5267.5,5315.5,3123.0,2965.0,3252.0,3059.0,33566.0,0.7236086042159996
KLRG1.rescaled,5315.5,5268.5,5267.5,5315.5,3422.0,2914.0,3149.0,2915.0,33567.0,0.7236003245624203
RTKN2.rescaled,5315.5,5268.5,5267.5,5315.5,2959.0,5091.0,2092.0,2275.0,33584.0,0.7234595704515723
FAM89B.rescaled,5315.5,5268.5,5267.5,5315.5,2906.0,3095.0,3012.0,3406.0,33586.0,0.7234430111444137
CDK5RAP3.rescaled,5315.5,5268.5,5267.5,5315.5,3112.0,3481.0,2556.0,3279.0,33595.0,0.7233684942622001
ETV5.rescaled,5315.5,5268.5,5267.5,5315.5,3257.0,4523.0,2026.0,2622.0,33595.0,0.7233684942622001
CHMP2A.rescaled,5315.5,5268.5,5267.5,5315.5,3090.0,3240.0,3155.0,2947.0,33599.0,0.7233353756478829
AKR1A1.rescaled,5315.5,5268.5,5267.5,5315.5,3091.0,2960.0,3540.0,2842.0,33600.0,0.7233270959943037
TM6SF2.rescaled,5315.5,5268.5,5267.5,11279.5,3106.0,1755.0,811.0,805.0,33608.0,0.7232608587656693
FHL1.rescaled,5315.5,5268.5,5267.5,5315.5,3312.0,2782.0,3560.0,2790.0,33611.0,0.7232360198049314
SPICE1.rescaled,5315.5,5268.5,5267.5,5315.5,3073.0,2232.0,4436.0,2703.0,33611.0,0.7232360198049314
CCL18.rescaled,5315.5,5268.5,5267.5,5315.5,2278.0,3357.0,3518.0,3293.0,33613.0,0.7232194604977727
BFSP1.rescaled,5315.5,5268.5,5267.5,5315.5,3562.0,2907.0,3022.0,2962.0,33620.0,0.7231615029227176
RAD51C.rescaled,5315.5,5268.5,5267.5,5315.5,3436.0,3268.0,2951.0,2818.0,33640.0,0.7229959098511318
ACSS1.rescaled,5315.5,5268.5,5267.5,5315.5,2019.0,3810.0,4124.0,2527.0,33647.0,0.7229379522760768
FCGR2B.rescaled,5315.5,5268.5,5267.5,5315.5,2120.0,2805.0,3368.0,4199.0,33659.0,0.7228385964331252
CCDC85B.rescaled,5315.5,5268.5,5267.5,5315.5,2576.0,2557.0,3633.0,3730.0,33663.0,0.722805477818808
EGFL7.rescaled,5315.5,10450.5,5267.5,5315.5,1239.0,2151.0,1564.0,2376.0,33679.0,0.7226730033615394
CNTROB.rescaled,5315.5,5268.5,10433.5,11279.5,390.0,387.0,217.0,393.0,33684.0,0.7226316050936429
HCAR2.rescaled,5315.5,10450.5,10433.5,5315.5,598.0,411.0,636.0,529.0,33689.0,0.7225902068257464
POU6F1.rescaled,5315.5,5268.5,5267.5,5315.5,3538.0,2592.0,3419.0,2976.0,33692.0,0.7225653678650086
ARGLU1.rescaled,5315.5,5268.5,5267.5,5315.5,3592.0,3235.0,2365.0,3337.0,33696.0,0.7225322492506914
ACAT1.rescaled,5315.5,5268.5,5267.5,5315.5,3045.0,2993.0,3228.0,3264.0,33697.0,0.7225239695971121
AKAP7.rescaled,5315.5,5268.5,5267.5,5315.5,2914.0,3410.0,3065.0,3144.0,33700.0,0.7224991306363742
PLA2G10.rescaled,5315.5,5268.5,5267.5,5315.5,2402.0,2896.0,3616.0,3626.0,33707.0,0.7224411730613192
FBN3.rescaled,5315.5,5268.5,5267.5,5315.5,2821.0,3809.0,3275.0,2640.0,33712.0,0.7223997747934227
TOMM20.rescaled,5315.5,5268.5,5267.5,11279.5,2168.0,1654.0,1758.0,1002.0,33713.0,0.7223914951398434
SLC50A1.rescaled,5315.5,5268.5,5267.5,5315.5,3402.0,2664.0,3561.0,2921.0,33715.0,0.7223749358326848
HMMR.rescaled,540.0,11316.5,10433.5,11279.5,57.0,28.0,18.0,46.0,33718.5,0.7223459570451572
PPARGC1A.rescaled,5315.5,5268.5,5267.5,5315.5,3316.0,2953.0,3160.0,3124.0,33720.0,0.7223335375647884
IFIT5.rescaled,5315.5,5268.5,5267.5,5315.5,3544.0,2733.0,3433.0,2855.0,33732.0,0.7222341817218367
TUBGCP2.rescaled,5315.5,5268.5,5267.5,5315.5,2974.0,2715.0,4486.0,2391.0,33733.0,0.7222259020682575
RASL12.rescaled,5315.5,5268.5,5267.5,5315.5,2942.0,3595.0,3096.0,2935.0,33735.0,0.7222093427610989
ARPC1B.rescaled,5315.5,5268.5,5267.5,5315.5,3425.0,3164.0,2648.0,3332.0,33736.0,0.7222010631075195
LIN37.rescaled,5315.5,5268.5,5267.5,5315.5,3396.0,3119.0,3255.0,2800.0,33737.0,0.7221927834539403
ENG.rescaled,5315.5,5268.5,5267.5,5315.5,3353.0,3533.0,2769.0,2924.0,33746.0,0.7221182665717266
EFHC2.rescaled,5315.5,5268.5,5267.5,5315.5,3599.0,2765.0,3027.0,3202.0,33760.0,0.7220023514216165
ZC3H12A.rescaled,5315.5,5268.5,5267.5,5315.5,3781.0,2922.0,2719.0,3181.0,33770.0,0.7219195548858236
DZIP1L.rescaled,5315.5,10450.5,5267.5,5315.5,1512.0,2152.0,1709.0,2055.0,33777.0,0.7218615973107685
PARP10.rescaled,5315.5,5268.5,5267.5,5315.5,4134.0,3145.0,3150.0,2201.0,33797.0,0.7216960042391827
MZT2B.rescaled,5315.5,5268.5,5267.5,5315.5,2872.0,3318.0,3886.0,2560.0,33803.0,0.7216463263177069
FAM149A.rescaled,5315.5,5268.5,5267.5,5315.5,1996.0,3142.0,2917.0,4586.0,33808.0,0.7216049280498105
ZNF576.rescaled,5315.5,5268.5,5267.5,10462.0,1396.0,1665.0,2870.0,1573.0,33817.5,0.721526271340807
