,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
ERG.rescaled,362.5,354.5,354.5,277.0,481.0,509.0,480.0,510.0,3328.5,0.9739646293199092
SOWAHA.rescaled,135.0,270.5,35.5,6.0,867.0,1868.0,244.0,47.0,3473.0,0.9727682193777012
BRSK1.rescaled,76.0,58.5,73.0,206.5,773.0,782.0,921.0,592.0,3482.0,0.9726937024954876
CELF4.rescaled,197.0,354.5,354.5,371.0,696.0,423.0,280.0,827.0,3503.0,0.9725198297703224
MX1.rescaled,154.0,130.0,354.5,277.0,757.0,740.0,442.0,675.0,3529.5,0.9723004189504711
TP53TG5.rescaled,18.0,270.5,59.5,206.5,371.0,1015.0,576.0,1053.0,3569.5,0.9719692328072992
CDCA2.rescaled,118.0,213.5,263.0,277.0,724.0,973.0,714.0,298.0,3580.5,0.9718781566179272
SCNN1B.rescaled,37.5,47.0,152.0,102.5,861.0,717.0,980.0,708.0,3605.0,0.9716753051052344
CASP14.rescaled,362.5,90.5,354.5,277.0,530.0,489.0,930.0,676.0,3709.5,0.9708100813061982
TMEM150C.rescaled,362.5,213.5,524.5,206.5,375.0,431.0,1080.0,632.0,3825.0,0.9698537813177897
CXCL13.rescaled,264.0,354.5,263.0,550.0,619.0,452.0,305.0,1176.0,3983.5,0.9685414562254716
CBX2.rescaled,362.5,354.5,524.5,277.0,426.0,294.0,411.0,1357.0,4006.5,0.9683510241931478
CHST8.rescaled,76.0,58.5,73.0,39.5,1737.0,970.0,454.0,599.0,4007.0,0.968346884366358
SCNN1G.rescaled,264.0,73.0,196.0,128.5,631.0,1112.0,657.0,946.0,4007.5,0.9683427445395684
TMSB15A.rescaled,25.0,17.5,22.5,39.5,341.0,1255.0,758.0,1608.0,4066.5,0.96785424497839
SRP9.rescaled,154.0,111.0,354.5,277.0,441.0,376.0,801.0,1576.0,4090.5,0.967655533292487
ADH1A.rescaled,540.0,130.0,196.0,158.0,967.0,764.0,820.0,682.0,4257.0,0.9662769709715344
MMP1.rescaled,154.0,130.0,196.0,550.0,639.0,565.0,520.0,1806.0,4560.0,0.9637682359370084
FOXD2.rescaled,118.0,73.0,31.5,206.5,850.0,1175.0,866.0,1259.0,4579.0,0.9636109225190018
MCM10.rescaled,76.0,213.5,524.5,158.0,120.0,364.0,187.0,3021.0,4664.0,0.9629071519647618
KIF1A.rescaled,76.0,90.5,196.0,102.5,760.0,1133.0,2158.0,269.0,4785.0,0.9619053138816672
FADS2.rescaled,25.0,58.5,152.0,15.5,970.0,583.0,606.0,2646.0,5056.0,0.9596615277616783
NEU4.rescaled,264.0,213.5,263.0,206.5,348.0,1197.0,1073.0,1597.0,5162.0,0.9587838844822733
OXGR1.rescaled,197.0,130.0,354.5,158.0,1198.0,516.0,1671.0,1030.0,5254.5,0.9580180165261886
RSAD2.rescaled,61.0,164.0,73.0,206.5,1180.0,1071.0,1651.0,865.0,5271.5,0.9578772624153404
OTUD3.rescaled,93.0,164.0,196.0,550.0,1689.0,1422.0,624.0,543.0,5281.0,0.9577986057063372
A2ML1.rescaled,540.0,354.5,196.0,277.0,1131.0,749.0,1383.0,715.0,5345.5,0.9572645680504728
SMOC1.rescaled,362.5,164.0,152.0,76.5,1406.0,926.0,1031.0,1367.0,5485.0,0.9561095563761612
KIF2C.rescaled,264.0,533.5,196.0,206.5,429.0,2975.0,696.0,336.0,5636.0,0.9548593286856878
ENTPD3.rescaled,362.5,58.5,17.5,158.0,1085.0,985.0,957.0,2050.0,5673.5,0.9545488416764644
PCDHAC1.rescaled,264.0,164.0,196.0,158.0,587.0,1321.0,1384.0,1629.0,5703.0,0.954304591895875
IFIT1.rescaled,154.0,164.0,263.0,277.0,1433.0,2486.0,473.0,542.0,5792.0,0.953567702727318
MND1.rescaled,8.0,4.0,4.0,7.0,3163.0,1070.0,834.0,711.0,5801.0,0.9534931858451042
CYP2C8.rescaled,540.0,354.5,354.5,550.0,942.0,1563.0,566.0,1067.0,5937.0,0.9523671529583202
NMNAT1.rescaled,31.5,111.0,40.0,28.5,2386.0,1327.0,1211.0,840.0,5975.0,0.9520525261223072
SYNGR3.rescaled,16.5,32.0,31.5,277.0,1359.0,2222.0,964.0,1131.0,6033.0,0.951572306214708
OASL.rescaled,197.0,213.5,196.0,102.5,1143.0,1501.0,1153.0,1585.0,6091.0,0.951092086307109
GSDMC.rescaled,118.0,213.5,96.5,158.0,671.0,2106.0,1545.0,1302.0,6210.0,0.9501068075311728
PPP1R3C.rescaled,5315.5,130.0,354.5,277.0,60.0,48.0,38.0,49.0,6272.0,0.9495934690092568
TRHDE.rescaled,5315.5,213.5,120.5,76.5,162.0,171.0,168.0,159.0,6386.0,0.9486495885012172
NAT8B.rescaled,154.0,533.5,524.5,550.0,1483.0,799.0,1592.0,761.0,6397.0,0.9485585123118448
NCAPH.rescaled,5315.5,354.5,524.5,158.0,42.0,27.0,33.0,15.0,6469.5,0.947958237427346
RAET1L.rescaled,540.0,354.5,354.5,371.0,609.0,2312.0,1004.0,997.0,6542.0,0.9473579625428472
HS6ST2.rescaled,48.5,47.0,73.0,76.5,910.0,1290.0,2643.0,1496.0,6584.0,0.9470102170925168
SLC28A1.rescaled,264.0,533.5,524.5,371.0,1251.0,1061.0,981.0,1653.0,6639.0,0.9465548361456556
PCK1.rescaled,154.0,213.5,5267.5,128.5,216.0,177.0,127.0,475.0,6758.5,0.94556541754293
EPHX1.rescaled,264.0,354.5,152.0,206.5,1031.0,2474.0,1487.0,900.0,6869.0,0.944650515822418
ACTL8.rescaled,540.0,533.5,152.0,206.5,1110.0,1114.0,1489.0,1754.0,6899.0,0.9444021262150392
POTEC.rescaled,362.5,533.5,263.0,371.0,2269.0,1136.0,1034.0,961.0,6930.0,0.944145456954081
NCAPG.rescaled,540.0,5268.5,354.5,371.0,83.0,242.0,42.0,50.0,6951.0,0.9439715842289158
STAT1.rescaled,61.0,111.0,120.5,76.5,1093.0,1158.0,2909.0,1622.0,7151.0,0.942315653513057
IRF7.rescaled,264.0,354.5,354.5,206.5,1337.0,1573.0,1604.0,1530.0,7223.5,0.941715378628558
IL22RA2.rescaled,61.0,213.5,5267.5,158.0,525.0,259.0,611.0,151.0,7246.0,0.941529086423024
ARSH.rescaled,264.0,533.5,196.0,550.0,2454.0,930.0,1284.0,1102.0,7313.5,0.9409702098064217
BUB1.rescaled,540.0,354.5,196.0,5315.5,241.0,181.0,73.0,413.0,7314.0,0.940966069979632
SLC38A3.rescaled,362.5,533.5,524.5,5315.5,149.0,229.0,107.0,110.0,7331.0,0.940825315868784
LRRN1.rescaled,540.0,533.5,354.5,5315.5,137.0,190.0,173.0,134.0,7377.5,0.9404403119773468
BUB1B.rescaled,5315.5,270.5,524.5,550.0,152.0,169.0,398.0,80.0,7459.5,0.9397613803838448
AATK.rescaled,5315.5,354.5,524.5,277.0,248.0,277.0,240.0,297.0,7533.5,0.9391486860189768
NETO1.rescaled,118.0,130.0,196.0,206.5,1698.0,2346.0,818.0,2064.0,7576.5,0.9387926609150672
C1orf109.rescaled,197.0,5268.5,524.5,371.0,228.0,362.0,541.0,426.0,7918.0,0.9359651592177384
C6.rescaled,48.5,90.5,96.5,39.5,2620.0,1267.0,1300.0,2580.0,8042.0,0.9349384821739058
P2RX2.rescaled,362.5,533.5,524.5,5315.5,306.0,380.0,288.0,347.0,8057.0,0.9348142873702164
PRR11.rescaled,264.0,533.5,5267.5,550.0,435.0,388.0,329.0,303.0,8070.0,0.9347066518736856
PTTG1.rescaled,154.0,26.0,96.5,128.5,1850.0,3741.0,1621.0,651.0,8268.0,0.9330672804649852
LRP2.rescaled,61.0,47.0,15.0,33.0,764.0,4471.0,2003.0,998.0,8392.0,0.9320406034211528
KIR3DL2.rescaled,540.0,270.5,524.5,550.0,1510.0,2054.0,1456.0,1502.0,8407.0,0.9319164086174634
NASP.rescaled,540.0,533.5,524.5,550.0,1851.0,1154.0,1953.0,1332.0,8438.0,0.9316597393565054
CDCA8.rescaled,362.5,533.5,524.5,371.0,703.0,935.0,4758.0,327.0,8514.5,0.9310263458576892
OAS1.rescaled,362.5,213.5,5267.5,206.5,979.0,377.0,789.0,486.0,8681.0,0.9296477835367368
PLA2G3.rescaled,264.0,270.5,524.5,206.5,1497.0,1824.0,2120.0,2252.0,8958.5,0.9273501796684828
GAL3ST2.rescaled,540.0,354.5,354.5,550.0,817.0,2697.0,1777.0,1896.0,8986.0,0.927122489195052
MYBL2.rescaled,154.0,73.0,96.5,76.5,746.0,2147.0,671.0,5040.0,9004.0,0.9269734554306248
PRRT4.rescaled,37.5,17.5,25.5,28.5,1343.0,2846.0,1734.0,2972.0,9004.0,0.9269734554306248
MYB.rescaled,362.5,164.0,120.5,277.0,3833.0,1060.0,1938.0,1285.0,9040.0,0.9266753879017702
HERC6.rescaled,118.0,270.5,263.0,102.5,2754.0,1894.0,2102.0,1716.0,9220.0,0.9251850502574972
ALDH1L1.rescaled,362.5,90.5,96.5,158.0,5297.0,1056.0,1369.0,808.0,9237.5,0.9250401563198596
AP3B2.rescaled,540.0,270.5,524.5,277.0,1216.0,1083.0,4278.0,1164.0,9353.0,0.9240838563314512
LCA5L.rescaled,197.0,90.5,152.0,158.0,1662.0,1592.0,4396.0,1114.0,9361.5,0.9240134792760272
HMGCS2.rescaled,118.0,5268.5,263.0,277.0,529.0,575.0,1841.0,520.0,9391.5,0.9237650896686482
IFIT3.rescaled,154.0,90.5,120.5,158.0,1475.0,3647.0,2438.0,1383.0,9466.0,0.9231482554769908
DIRAS1.rescaled,362.5,5268.5,152.0,371.0,873.0,631.0,772.0,1052.0,9482.0,0.923015781019722
MT1H.rescaled,197.0,354.5,524.5,206.5,2135.0,1486.0,2217.0,2722.0,9842.5,0.9200309659043866
CNTD1.rescaled,540.0,533.5,5267.5,550.0,886.0,857.0,581.0,665.0,9880.0,0.9197204788951632
S100A8.rescaled,264.0,164.0,196.0,550.0,2473.0,1945.0,1442.0,2974.0,10008.0,0.9186606832370132
COG3.rescaled,264.0,270.5,524.5,371.0,1919.0,4214.0,1490.0,1007.0,10060.0,0.91823014125089
RASL10A.rescaled,362.5,533.5,524.5,550.0,1826.0,2013.0,2362.0,2022.0,10193.5,0.9171248074980544
PRDM5.rescaled,540.0,533.5,5267.5,550.0,860.0,695.0,1077.0,886.0,10409.0,0.9153405421517165
GPR173.rescaled,197.0,533.5,354.5,277.0,1428.0,4583.0,2001.0,1101.0,10475.0,0.914794085015483
IFI44.rescaled,264.0,213.5,96.5,206.5,1353.0,4096.0,1787.0,2490.0,10506.5,0.9145332759277351
SBSN.rescaled,540.0,533.5,524.5,550.0,2658.0,2356.0,1707.0,2000.0,10869.0,0.911531901505241
GLT8D1.rescaled,197.0,533.5,5267.5,277.0,1657.0,960.0,1407.0,623.0,10922.0,0.9110930798655384
ECM1.rescaled,540.0,533.5,524.5,5315.5,821.0,993.0,1214.0,1074.0,11015.5,0.9103189322558743
BEX2.rescaled,48.5,73.0,96.5,128.5,3992.0,1953.0,733.0,4037.0,11061.5,0.9099380681912268
CLEC6A.rescaled,264.0,354.5,354.5,371.0,2197.0,3064.0,2393.0,2065.0,11063.0,0.909925648710858
POF1B.rescaled,362.5,10450.5,152.0,277.0,14.0,14.0,19.0,7.0,11296.0,0.9079964894268824
KCNH2.rescaled,5315.5,354.5,354.5,128.5,1245.0,1519.0,1361.0,1099.0,11377.0,0.9073258374869596
SIGLEC1.rescaled,197.0,73.0,10433.5,102.5,164.0,144.0,125.0,177.0,11416.0,0.9070029309973672
RUNDC3A.rescaled,5315.5,354.5,354.5,550.0,1167.0,1587.0,1092.0,1095.0,11515.5,0.9061791054662272
TNMD.rescaled,5315.5,5268.5,304.0,550.0,54.0,20.0,21.0,24.0,11557.0,0.9058354998426864
HSH2D.rescaled,5315.5,533.5,524.5,550.0,782.0,1283.0,932.0,1692.0,11612.5,0.9053759790690358
ARL11.rescaled,362.5,5268.5,263.0,550.0,1057.0,2091.0,1117.0,914.0,11623.0,0.9052890427064532
