,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
AEBP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5931.0,824.0,4955.0,1468.0,2353.0,54954.5,0.6370765899059364
DHX35.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3137.0,2753.0,3244.0,3736.0,2668.0,54961.5,0.6370303020284009
STAP2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3073.0,3238.0,2956.0,3165.0,3116.0,54971.5,0.6369641764890646
AK8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3670.0,2041.0,4031.0,3639.0,2169.0,54973.5,0.6369509513811973
GTDC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3013.0,3316.0,3072.0,3195.0,2959.0,54978.5,0.636917888611529
C17orf98.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2837.0,2559.0,3441.0,3537.0,3184.0,54981.5,0.6368980509497281
CMPK1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3094.0,2909.0,3786.0,3014.0,2760.0,54986.5,0.6368649881800599
RBM33.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3414.0,2929.0,3216.0,2984.0,3034.0,55000.5,0.6367724124249888
ABHD13.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2151.0,2770.0,4119.0,4248.0,2290.0,55001.5,0.6367657998710552
FIBP.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1929.0,1644.0,1064.0,2077.0,8874.0,55011.5,0.6366996743317188
YPEL4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2752.0,1916.0,5875.0,1996.0,3050.0,55012.5,0.6366930617777851
LRRC15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1757.0,1887.0,5234.0,3142.0,3570.0,55013.5,0.6366864492238515
ITPR3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2954.0,3030.0,3089.0,3410.0,3113.0,55019.5,0.6366467739002496
FBXO33.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3035.0,3035.0,3547.0,2716.0,3269.0,55025.5,0.6366070985766478
BAG5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2655.0,3336.0,3416.0,3582.0,2619.0,55031.5,0.6365674232530458
ZDHHC21.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2113.0,3382.0,2993.0,3267.0,3855.0,55033.5,0.6365541981451786
CACNA2D2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2544.0,3056.0,2727.0,5143.0,2146.0,55039.5,0.6365145228215767
FAT2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2174.0,4257.0,2554.0,3481.0,3156.0,55045.5,0.6364748474979749
CAMK2G.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3175.0,3658.0,2685.0,2871.0,3236.0,55048.5,0.636455009836174
DGCR8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3090.0,2993.0,3034.0,3403.0,3109.0,55052.5,0.6364285596204394
COQ6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2047.0,8209.0,3349.0,1142.0,886.0,55056.5,0.6364021094047048
RGL4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3161.0,2790.0,3030.0,3528.0,3131.0,55063.5,0.6363558215271694
ZNF214.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3306.0,2541.0,3488.0,3667.0,2645.0,55070.5,0.6363095336496338
DOCK2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2894.0,3802.0,3055.0,2923.0,2976.0,55073.5,0.6362896959878329
SOS2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4989.0,4086.0,1959.0,2335.0,2286.0,55078.5,0.6362566332181647
TGFBI.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3254.0,2926.0,3649.0,4447.0,1390.0,55089.5,0.6361838951248946
FYCO1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3083.0,2516.0,3511.0,2263.0,4294.0,55090.5,0.636177282570961
TPPP3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2687.0,3497.0,3623.0,2764.0,3099.0,55093.5,0.63615744490916
RPL14.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3550.0,3213.0,3106.0,2778.0,3028.0,55098.5,0.6361243821394919
RALGDS.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3403.0,3981.0,2880.0,3478.0,1941.0,55106.5,0.6360714817080226
CD80.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3440.0,4745.0,2435.0,3456.0,1621.0,55120.5,0.6359789059529517
OPN4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3201.0,3183.0,3017.0,2908.0,3400.0,55132.5,0.635899555305748
AKAP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3620.0,2076.0,3002.0,3608.0,3411.0,55140.5,0.6358466548742788
PPP2R5E.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3664.0,2642.0,2947.0,3387.0,3080.0,55143.5,0.6358268172124779
PPIL4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2845.0,3178.0,3737.0,3173.0,2811.0,55167.5,0.6356681159180704
SRSF10.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3038.0,4153.0,6742.0,693.0,1119.0,55168.5,0.6356615033641368
WDR61.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4081.0,3972.0,2328.0,2849.0,2524.0,55177.5,0.635601990378734
ZNF17.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3102.0,2725.0,3199.0,3703.0,3027.0,55179.5,0.6355887652708667
ADRM1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3525.0,3049.0,1808.0,3115.0,4272.0,55192.5,0.6355028020697293
HAS3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2866.0,3692.0,3459.0,2886.0,2876.0,55202.5,0.6354366765303929
CYP3A7.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2688.0,3016.0,4193.0,3047.0,2835.0,55202.5,0.6354366765303929
PTPN13.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3231.0,3623.0,3206.0,2919.0,2805.0,55207.5,0.6354036137607247
RFESD.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2630.0,4236.0,3752.0,2404.0,2765.0,55210.5,0.6353837760989238
RABGGTA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2180.0,6861.0,3090.0,1753.0,1909.0,55216.5,0.635344100775322
CHRFAM7A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2669.0,2399.0,2647.0,4927.0,3153.0,55218.5,0.6353308756674547
ACOX2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3569.0,3694.0,2875.0,1588.0,4083.0,55232.5,0.6352382999123837
PDCD11.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2808.0,3078.0,3093.0,3236.0,3596.0,55234.5,0.6352250748045164
CARD9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3307.0,2778.0,3292.0,3519.0,2916.0,55235.5,0.6352184622505828
FUCA1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3450.0,3716.0,4384.0,2027.0,2239.0,55239.5,0.6351920120348482
LDHC.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3400.0,3185.0,2745.0,3375.0,3118.0,55246.5,0.6351457241573126
UQCRC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2905.0,2984.0,3124.0,3636.0,3174.0,55246.5,0.6351457241573126
NSL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2321.0,4554.0,2090.0,4479.0,2380.0,55247.5,0.635139111603379
NCAPG2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3404.0,3375.0,2242.0,2959.0,3852.0,55255.5,0.6350862111719099
ZNF136.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3557.0,3322.0,3004.0,3002.0,2950.0,55258.5,0.635066373510109
TSGA10.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3370.0,3487.0,2542.0,3138.0,3304.0,55264.5,0.6350266981865071
ACACA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4615.0,1768.0,4741.0,3095.0,1622.0,55264.5,0.6350266981865071
LRP5L.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3461.0,4027.0,2614.0,2703.0,3041.0,55269.5,0.6349936354168388
AURKAIP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2492.0,3560.0,3845.0,2798.0,3154.0,55272.5,0.6349737977550379
PDIA5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4235.0,2584.0,3228.0,3329.0,2474.0,55273.5,0.6349671852011043
RPRD1A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1746.0,6670.0,1935.0,3071.0,2431.0,55276.5,0.6349473475393034
CCDC157.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3019.0,3119.0,2682.0,2964.0,4073.0,55280.5,0.6349208973235688
ADARB2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3359.0,2718.0,3168.0,2970.0,3646.0,55284.5,0.6348944471078342
EXOSC8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3448.0,2874.0,3687.0,2805.0,3052.0,55289.5,0.6348613843381661
GMPS.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5890.0,2082.0,2098.0,2804.0,2997.0,55294.5,0.6348283215684978
CLDN3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3222.0,3302.0,3099.0,3175.0,3076.0,55297.5,0.6348084839066969
STEAP1B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2772.0,3194.0,3299.0,3625.0,2985.0,55298.5,0.6348018713527632
PPP6C.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3295.0,2320.0,3825.0,3816.0,2632.0,55311.5,0.6347159081516258
GPX8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1779.0,3428.0,2638.0,3671.0,4374.0,55313.5,0.6347026830437585
IFT74.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3292.0,3455.0,2259.0,3146.0,3738.0,55313.5,0.6347026830437585
SCUBE3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3029.0,2602.0,4033.0,3819.0,2414.0,55320.5,0.6346563951662231
SECTM1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3273.0,3280.0,3166.0,3123.0,3067.0,55332.5,0.6345770445190193
SPNS1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3489.0,2953.0,2854.0,3545.0,3069.0,55333.5,0.6345704319650858
C14orf119.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3017.0,3026.0,3097.0,2947.0,3824.0,55334.5,0.634563819411152
TAB2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3329.0,3348.0,3196.0,2890.0,3152.0,55338.5,0.6345373691954175
RNF113B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3633.0,3378.0,3083.0,2521.0,3307.0,55345.5,0.634491081317882
STAM2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3943.0,3070.0,3600.0,2429.0,2881.0,55346.5,0.6344844687639484
OR51E2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2463.0,2920.0,2903.0,5385.0,2252.0,55346.5,0.6344844687639484
ZNF709.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3011.0,4329.0,2731.0,3309.0,2551.0,55354.5,0.6344315683324793
C9orf152.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4621.0,2733.0,2749.0,2932.0,2901.0,55359.5,0.634398505562811
CD1B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1995.0,10933.0,454.0,1554.0,1009.0,55368.5,0.6343389925774082
OSCP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2679.0,3732.0,1793.0,5124.0,2622.0,55373.5,0.63430592980774
WARS2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3756.0,3011.0,2907.0,2969.0,3315.0,55381.5,0.6342530293762709
GPR20.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3058.0,3042.0,2590.0,3467.0,3804.0,55384.5,0.6342331917144699
PCDH10.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3188.0,5224.0,2665.0,2689.0,2196.0,55385.5,0.6342265791605363
ANGPTL2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1845.0,4514.0,3731.0,2551.0,3325.0,55389.5,0.6342001289448017
TRANK1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3229.0,2983.0,3566.0,3604.0,2586.0,55391.5,0.6341869038369344
TIMMDC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4404.0,3856.0,2053.0,3226.0,2432.0,55394.5,0.6341670661751335
SYF2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2518.0,3673.0,2990.0,1405.0,5397.0,55406.5,0.6340877155279298
USP35.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4599.0,2536.0,2898.0,2927.0,3023.0,55406.5,0.6340877155279298
TSPYL4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1917.0,5580.0,1620.0,4153.0,2714.0,55407.5,0.6340811029739961
PTBP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2789.0,3628.0,3294.0,3807.0,2470.0,55411.5,0.6340546527582616
ITGA6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3375.0,2689.0,4238.0,2462.0,3231.0,55418.5,0.634008364880726
TOMM5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4170.0,2561.0,3309.0,3679.0,2280.0,55422.5,0.6339819146649914
RUSC2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3173.0,3363.0,3368.0,3087.0,3010.0,55424.5,0.6339686895571242
RPS19.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3294.0,2844.0,3452.0,2755.0,3658.0,55426.5,0.6339554644492569
CNR2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2973.0,2697.0,3790.0,3069.0,3475.0,55427.5,0.6339488518953234
GEMIN2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3902.0,3046.0,3462.0,2788.0,2812.0,55433.5,0.6339091765717214
HDHD2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3105.0,3744.0,2794.0,3101.0,3267.0,55434.5,0.6339025640177878
TBC1D15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3228.0,3334.0,3217.0,3454.0,2796.0,55452.5,0.6337835380469822
SUGT1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1990.0,2213.0,3614.0,4093.0,4122.0,55455.5,0.6337637003851813
ROBO3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2838.0,3669.0,3209.0,3100.0,3217.0,55456.5,0.6337570878312476
FBXO4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3267.0,3446.0,3015.0,3126.0,3183.0,55460.5,0.6337306376155131
RIPK2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3212.0,3027.0,3211.0,3417.0,3177.0,55467.5,0.6336843497379776
BNIP3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2599.0,4264.0,3071.0,3064.0,3049.0,55470.5,0.6336645120761766
GRPEL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2867.0,3485.0,3414.0,3055.0,3234.0,55478.5,0.6336116116447075
ARHGEF15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2088.0,1607.0,2282.0,3166.0,6913.0,55479.5,0.6336049990907738
DCPS.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3350.0,2857.0,3638.0,3231.0,2991.0,55490.5,0.6335322609975038
L2HGDH.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1994.0,3279.0,3514.0,3777.0,3530.0,55517.5,0.6333537220412955
MAP2K2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3300.0,4012.0,2570.0,3398.0,2822.0,55525.5,0.6333008216098263
KIAA1671.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5449.0,2657.0,3381.0,2657.0,1964.0,55531.5,0.6332611462862243
TRAM2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3665.0,4613.0,2644.0,2267.0,2921.0,55533.5,0.633247921178357
MCEE.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2007.0,5844.0,1978.0,2981.0,3300.0,55533.5,0.633247921178357
UAP1L1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2854.0,3634.0,4123.0,2291.0,3223.0,55548.5,0.6331487328693525
TIGD6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3824.0,5002.0,2761.0,2351.0,2207.0,55568.5,0.6330164817906796
DGCR6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2942.0,3611.0,3339.0,2451.0,3812.0,55578.5,0.6329503562513432
POLR2J3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4658.0,3138.0,4325.0,2368.0,1669.0,55581.5,0.6329305185895422
NAA30.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3641.0,3031.0,2849.0,3194.0,3445.0,55583.5,0.6329172934816749
CXXC4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3088.0,3166.0,3179.0,3129.0,3600.0,55585.5,0.6329040683738076
MAST4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3051.0,2834.0,3931.0,2522.0,3825.0,55586.5,0.6328974558198741
GBA3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3277.0,3657.0,3118.0,2794.0,3323.0,55592.5,0.6328577804962722
GRIPAP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2686.0,3806.0,3439.0,2938.0,3305.0,55597.5,0.632824717726604
FASN.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3497.0,2991.0,3699.0,2735.0,3257.0,55602.5,0.6327916549569357
BOLA3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5121.0,2963.0,2954.0,2301.0,2850.0,55612.5,0.6327255294175993
SHC3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3474.0,2094.0,2572.0,5584.0,2465.0,55612.5,0.6327255294175993
GALR2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3330.0,3431.0,3326.0,3009.0,3095.0,55614.5,0.632712304309732
PBX1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2834.0,3413.0,2009.0,2664.0,5273.0,55616.5,0.6326990792018647
COPZ1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4260.0,2886.0,3201.0,3314.0,2538.0,55622.5,0.6326594038782629
GHRH.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1685.0,987.0,5051.0,4140.0,4339.0,55625.5,0.6326395662164619
RYR3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1104.0,4623.0,4307.0,1952.0,4217.0,55626.5,0.6326329536625284
CD247.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1936.0,3457.0,3799.0,4129.0,2890.0,55634.5,0.6325800532310591
ZNF783.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3069.0,2409.0,3890.0,3514.0,3335.0,55640.5,0.6325403779074573
DCAF5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2864.0,3168.0,3549.0,2443.0,4196.0,55643.5,0.6325205402456564
VDR.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3504.0,2666.0,3351.0,3312.0,3388.0,55644.5,0.6325139276917227
NOS1AP.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3503.0,2780.0,3174.0,3218.0,3546.0,55644.5,0.6325139276917227
CEP72.rescaled,7885.0,7884.0,550.0,7884.5,7883.5,4648.0,3204.0,10051.0,2537.0,3121.0,55648.0,0.632490783752955
NPHP3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2414.0,3461.0,2393.0,4513.0,3448.0,55652.5,0.6324610272602535
RBM4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2957.0,2789.0,4346.0,1734.0,4404.0,55653.5,0.63245441470632
WBP2NL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3528.0,3079.0,3443.0,2991.0,3191.0,55655.5,0.6324411895984526
MRPL49.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3663.0,2190.0,2528.0,3492.0,4361.0,55657.5,0.6324279644905854
SOX21.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2846.0,2847.0,2853.0,3676.0,4017.0,55662.5,0.6323949017209172
PRSS8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2637.0,3040.0,4200.0,3567.0,2797.0,55664.5,0.6323816766130499
TMEM221.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3476.0,2593.0,3967.0,3227.0,2984.0,55670.5,0.6323420012894481
TACR3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2979.0,3342.0,1936.0,4065.0,3926.0,55671.5,0.6323353887355143
ATP6AP1.rescaled,7885.0,7884.0,7886.5,550.5,7883.5,3788.0,9747.0,6588.0,980.0,2483.0,55675.5,0.6323089385197798
TMEM106B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3296.0,2630.0,3214.0,3182.0,3932.0,55677.5,0.6322957134119125
EMILIN3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3906.0,3057.0,3155.0,2861.0,3281.0,55683.5,0.6322560380883107
KLRC3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3152.0,3203.0,3763.0,3432.0,2718.0,55691.5,0.6322031376568416
TMPRSS4.rescaled,397.5,546.0,7886.5,550.5,7883.5,2642.0,12130.0,8507.0,13703.0,1452.0,55698.0,0.6321601560562728
EPHB3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3724.0,2365.0,2162.0,4940.0,3088.0,55702.5,0.6321303995635714
SPARCL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2891.0,3547.0,3048.0,3630.0,3169.0,55708.5,0.6320907242399696
ZNF287.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3288.0,3071.0,4254.0,3250.0,2428.0,55714.5,0.6320510489163678
A4GALT.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6037.0,2924.0,2157.0,2024.0,3149.0,55714.5,0.6320510489163678
GLIPR2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,1939.0,2693.0,5625.0,3944.0,2091.0,55715.5,0.632044436362434
CDC73.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3165.0,2775.0,5173.0,3172.0,2009.0,55717.5,0.6320312112545667
HK3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3066.0,3066.0,3000.0,4904.0,2261.0,55720.5,0.6320113735927659
TTC39A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2295.0,3414.0,4517.0,2334.0,3740.0,55723.5,0.6319915359309649
FBXO46.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4916.0,2104.0,2602.0,3949.0,2751.0,55745.5,0.6318460597444249
MYO15A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3191.0,2937.0,3352.0,3197.0,3649.0,55749.5,0.6318196095286902
MCOLN3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2959.0,1508.0,5632.0,1530.0,4710.0,55762.5,0.6317336463275529
TTPAL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3109.0,2606.0,3522.0,3939.0,3171.0,55770.5,0.6316807458960837
AGA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3046.0,4179.0,3107.0,2843.0,3186.0,55784.5,0.6315881701410127
MYH9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3739.0,3358.0,2757.0,2671.0,3841.0,55789.5,0.6315551073713446
ARRB2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3433.0,3201.0,3047.0,3865.0,2824.0,55793.5,0.6315286571556099
C8orf48.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2782.0,4448.0,2579.0,2828.0,3734.0,55794.5,0.6315220446016763
RSPH6A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3284.0,3453.0,3116.0,2773.0,3748.0,55797.5,0.6315022069398754
SH3D21.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5999.0,1098.0,1915.0,5782.0,1587.0,55804.5,0.6314559190623399
HOXB9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2816.0,2514.0,3504.0,3487.0,4063.0,55807.5,0.6314360814005389
MS4A6E.rescaled,7885.0,7884.0,7886.5,15125.5,15124.5,613.0,341.0,268.0,390.0,290.0,55807.5,0.6314360814005389
BEND5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2952.0,2931.0,3150.0,3877.0,3474.0,55807.5,0.6314360814005389
UBE2QL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4879.0,2658.0,4264.0,2758.0,1825.0,55807.5,0.6314360814005389
ZNF71.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5416.0,3324.0,2725.0,2313.0,2608.0,55809.5,0.6314228562926716
GOLGA8A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3263.0,2833.0,3063.0,4216.0,3014.0,55812.5,0.6314030186308708
GHITM.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3181.0,2921.0,3417.0,3975.0,2899.0,55816.5,0.6313765684151361
CCDC137.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2217.0,3757.0,3865.0,2464.0,4097.0,55823.5,0.6313302805376007
RFX2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2282.0,4119.0,3508.0,3258.0,3241.0,55831.5,0.6312773801061315
CCDC22.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2774.0,3113.0,4101.0,2128.0,4293.0,55832.5,0.6312707675521978
AP1M2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3917.0,2660.0,2842.0,3349.0,3647.0,55838.5,0.631231092228596
CSF2RA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4580.0,1710.0,5511.0,3048.0,1578.0,55850.5,0.6311517415813923
HSPB11.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3702.0,3061.0,2963.0,3134.0,3582.0,55865.5,0.6310525532723876
TOR1A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2073.0,3970.0,3337.0,3187.0,3886.0,55876.5,0.6309798151791175
RNF44.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2474.0,2581.0,3999.0,4362.0,3040.0,55879.5,0.6309599775173167
FADS2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3040.0,3525.0,2950.0,3505.0,3439.0,55882.5,0.6309401398555157
JKAMP.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3678.0,3552.0,3177.0,2985.0,3070.0,55885.5,0.6309203021937148
ARPC1B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3302.0,2990.0,2674.0,3319.0,4178.0,55886.5,0.6309136896397811
TTF2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5521.0,3258.0,1893.0,2257.0,3538.0,55890.5,0.6308872394240466
