,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
DCDC2.rescaled,220.5,349.0,146.5,109.5,291.5,50.0,100.0,113.0,53.0,219.0,1652.0,0.9895422459539436
XDH.rescaled,320.0,81.5,325.0,272.5,537.0,34.0,18.0,36.0,28.0,13.0,1665.0,0.9894562827528062
IGDCC3.rescaled,85.5,161.5,135.5,109.5,165.0,44.0,41.0,42.0,127.0,794.0,1705.0,0.9891917805954604
UBE2S.rescaled,220.5,219.5,260.5,322.0,191.5,64.0,86.0,128.0,91.0,145.0,1728.0,0.9890396918549867
JAKMIP1.rescaled,261.5,219.5,260.5,322.0,165.0,247.0,72.0,91.0,35.0,57.0,1730.5,0.9890231604701526
PNCK.rescaled,99.5,161.5,88.0,161.5,84.5,467.0,218.0,161.0,209.0,132.0,1782.0,0.98868261394257
SPAG5.rescaled,113.5,398.5,260.5,192.5,264.0,55.0,291.0,125.0,71.0,45.0,1816.0,0.988457787108826
TAT.rescaled,6.5,3.0,9.0,5.0,22.5,144.0,490.0,285.0,400.0,490.0,1855.0,0.988199897505414
CIDEA.rescaled,220.5,161.5,260.5,192.5,324.0,67.0,200.0,243.0,176.0,101.0,1946.0,0.9875981550974524
ESPL1.rescaled,54.5,16.5,11.5,17.5,15.0,435.0,298.0,206.0,594.0,303.0,1951.0,0.9875650923277844
LRRN3.rescaled,113.5,136.0,60.0,109.5,114.0,249.0,327.0,257.0,372.0,231.0,1969.0,0.9874460663569788
KCNK12.rescaled,546.5,319.0,325.0,272.5,391.0,40.0,35.0,21.0,27.0,44.0,2021.0,0.9871022135524292
CNTNAP2.rescaled,261.5,96.5,325.0,161.5,114.0,154.0,236.0,345.0,189.0,176.0,2058.5,0.9868542427799176
CAMK2B.rescaled,546.5,398.5,325.0,322.0,264.0,19.0,33.0,74.0,20.0,67.0,2069.0,0.9867848109636144
GNG13.rescaled,546.5,266.0,550.0,272.5,391.0,5.0,13.0,16.0,10.0,15.0,2085.0,0.9866790101006762
KIF23.rescaled,99.5,81.5,135.5,161.5,139.0,211.0,566.0,288.0,267.0,173.0,2122.0,0.9864343456051312
ADIPOQ.rescaled,397.5,319.0,325.0,230.0,191.5,123.0,177.0,168.0,106.0,108.0,2145.0,0.9862822568646576
NDC80.rescaled,113.5,55.0,98.0,72.0,165.0,258.0,262.0,66.0,624.0,432.0,2145.5,0.9862789505876908
MMP11.rescaled,320.0,546.0,260.5,272.5,391.0,151.0,46.0,54.0,69.0,66.0,2176.0,0.9860772676927146
ZSCAN1.rescaled,158.5,266.0,193.0,161.5,264.0,222.0,214.0,281.0,179.0,272.0,2211.0,0.9858458283050372
LPAR3.rescaled,546.5,546.0,220.5,230.0,537.0,56.0,36.0,22.0,52.0,30.0,2276.0,0.9854160122993504
TMSB15A.rescaled,133.5,96.5,162.5,272.5,74.0,120.0,183.0,400.0,438.0,400.0,2280.0,0.9853895620836156
KIF18B.rescaled,158.5,116.5,47.5,109.5,165.0,558.0,239.0,146.0,371.0,369.0,2280.0,0.9853895620836156
TDRD5.rescaled,650.0,546.0,325.0,403.0,324.0,17.0,14.0,7.0,4.0,5.0,2295.0,0.9852903737746112
KIFC1.rescaled,85.5,116.5,115.5,57.5,95.5,208.0,250.0,458.0,162.0,752.0,2300.5,0.985254004727976
TCEAL5.rescaled,320.0,161.5,220.5,133.0,165.0,454.0,453.0,70.0,253.0,76.0,2306.0,0.985217635681341
TMEM126A.rescaled,133.5,319.0,325.0,403.0,324.0,140.0,147.0,273.0,146.0,125.0,2335.5,0.9850225653402984
