,TACC3.rescaled,KLHDC7A.rescaled,HOXC12.rescaled,NEIL3.rescaled,MKI67.rescaled,TFPI2.rescaled,GAL3ST2.rescaled,YBX2.rescaled,SYT13.rescaled,GYPE.rescaled,CDC20.rescaled,TROAP.rescaled,TBC1D3.rescaled,NCAPH.rescaled,GREB1L.rescaled,LTF.rescaled,PPP2R2C.rescaled,CDC25A.rescaled,EDARADD.rescaled,TONSL.rescaled,RBP7.rescaled,KAAG1.rescaled,ANKRD30B.rescaled,PCDHA11.rescaled,DNAH2.rescaled,CENPA.rescaled,FOXI1.rescaled,AURKB.rescaled,RECQL4.rescaled,PLK1.rescaled,RGS1.rescaled,ATP6V0A4.rescaled,PKMYT1.rescaled,CCNA2.rescaled,FAM83D.rescaled,SLC16A9.rescaled,NEK10.rescaled,KIF11.rescaled,ENTPD8.rescaled,CIT.rescaled,CDSN.rescaled,DCDC2.rescaled,XDH.rescaled,IGDCC3.rescaled,UBE2S.rescaled,JAKMIP1.rescaled,PNCK.rescaled,SPAG5.rescaled,TAT.rescaled,CIDEA.rescaled,ESPL1.rescaled,LRRN3.rescaled,KCNK12.rescaled,CNTNAP2.rescaled,CAMK2B.rescaled,GNG13.rescaled,KIF23.rescaled,ADIPOQ.rescaled,NDC80.rescaled,MMP11.rescaled,ZSCAN1.rescaled,LPAR3.rescaled,TMSB15A.rescaled,KIF18B.rescaled,TDRD5.rescaled,KIFC1.rescaled,TCEAL5.rescaled,TMEM126A.rescaled,CES3.rescaled,OR2A7.rescaled,SIGLEC1.rescaled,FOXM1.rescaled,HJURP.rescaled,IQGAP3.rescaled,KIF2C.rescaled,CIDEC.rescaled,RAB3C.rescaled,HS6ST2.rescaled,TP53TG5.rescaled,NEU4.rescaled,TPRG1.rescaled,PRKAA2.rescaled,SPESP1.rescaled,ACOT1.rescaled,SYT3.rescaled,MRAP.rescaled,CEP55.rescaled,ORC1.rescaled,TRAIP.rescaled,AQP7.rescaled,HOXC11.rescaled,ORM2.rescaled,CBX2.rescaled,TIMELESS.rescaled,WDR62.rescaled,DNAJC22.rescaled,CHRDL1.rescaled,NCAPG.rescaled,LRRC10B.rescaled,SKA1.rescaled
TACC3.rescaled,1.0,0.157586076342072,0.1067458262847855,0.7017756970481678,0.7699114995079961,-0.0951218350337805,0.0803831034681455,0.3422657497845978,0.1193135345500499,0.0469373514715603,0.7428986303335281,0.7227350937645887,-0.1813688378666,0.758244208943789,-0.0071188115629753,-0.0856786508997646,0.0709445321726924,0.653683392682003,0.0820165535982136,0.503505419494739,0.1012130609173489,0.1620480494312838,-0.0501970148356081,0.0775613336569916,0.0267465632594729,0.7226691941744244,-0.0288216024772504,0.7684055606984767,0.60434585607417,0.8029066712062651,0.1528656680362329,0.098421981393579,0.6255448922078232,0.7733394837386636,0.6737665471536874,0.2045427201089046,0.2907631559356378,0.7429330979111224,0.0573327208125585,0.5420794490657024,-0.0901336071120123,0.1702674077443971,-0.0546569276656875,-0.0426376078300738,0.5428545090590833,0.2986721102470848,0.0964910827247317,0.7094905568808901,0.2831738357065162,0.1282961840575693,0.7698155069332194,0.3621953696991136,0.1466180696281738,0.1689002586749035,-0.0211395777320047,0.1435756793947092,0.7189186017473786,0.1304197946986009,0.7463945640161082,0.1237661906570008,0.0055602615511124,-0.0975909969685087,0.2176911940673546,0.7529500204905577,-0.0329042104719693,0.7799452950659708,0.3700098515870497,0.0485881325366577,0.0623750886730277,0.0895963332332308,0.3152632890829258,0.7756898747422036,0.7895856482889098,0.7005756913487311,0.795145180238625,0.1262943345818586,0.1600585885178522,-0.0901526716616875,0.1244122656815567,0.0965775790732221,-0.0432356683670026,0.0772116329935458,0.0094779628620159,0.0513125252542744,-0.0410923450791042,0.1076489314957029,0.7816035066335477,0.6957988249069412,0.4840471808167306,0.1501196005202062,0.0574831252662783,0.0024903264978546,0.3066405550316277,0.616995369062687,0.6961415081896389,0.1557010381365264,0.1352017257503625,0.7664675848970887,0.0542212540349409,0.6748404117232211
KLHDC7A.rescaled,0.157586076342072,1.0,0.045746664670278,0.1583192865866627,0.0662319195866151,0.124377339059686,0.0088041363610823,0.0267019273387739,0.0840704837084853,0.0432079925304119,0.0707778096676516,0.2198994214913778,-0.0130754450025932,0.1177911061817275,-0.0103414899880861,-0.089480480076821,0.1364574302378272,0.2232875436331452,0.3643834313840961,0.0395605578536624,0.0701396813828068,0.1278987304373726,-0.0999724733961111,0.0827154145256759,-0.1473753711585164,0.1320491947998961,0.0118657437677673,0.1984846124858471,0.1055424502956787,0.1445144725620592,0.0329355084882882,-0.0393477909321896,0.1037593493173238,0.1712819812452978,0.0772671228962189,0.1746758560720672,0.1063600218838222,0.1162173924769236,0.0544177084411481,0.2188457041098813,-0.0107768466236818,0.1425390089220177,-0.0690293675600557,0.230032208803492,0.3057295583763135,-0.007295228534581,0.0280972330784567,0.0797293079835612,0.067728442028561,0.1972813249810852,0.093314358490712,0.212914064152536,0.1973516460063446,-0.0079032425274451,0.1390400728069,0.1320644303429648,0.1293980371850255,0.1850217960011582,0.1492736149070817,0.0699137922748391,0.0869543585109565,0.0239396567360865,0.1126889023750901,0.1402765746386844,0.1790644593628667,0.111684652024915,0.2176497178839167,-0.006339500963405,0.0509828034738577,0.1244888353456898,0.1138216844903068,0.1930640340787,0.119423489176303,0.1138651571023503,0.0773976523456633,0.1850309768527365,0.1516304879884947,-0.0403162527627142,0.1243885161590487,0.1301733796521062,0.0812872046689512,0.2623094948054535,-0.0524061914202135,0.0333606665970562,0.0272429680556187,0.1088631985705899,0.1420597697203638,0.0959647772615068,0.0808354957431998,0.152050883997485,-0.0309012449776957,0.1480163368927689,0.0907636537612468,0.1197128824543874,0.1102436896536993,-0.0826318531617284,0.2694767630613717,0.1796735092537382,0.0636253595729334,0.1815643852548199
HOXC12.rescaled,0.1067458262847855,0.045746664670278,1.0,0.0568104314884836,0.0813784606543685,-0.1320501635242046,0.1949409770177824,0.0531738947103367,0.0128289776661996,-0.0268567337991446,0.1838178694635608,0.1229076594669736,-0.0467402746188676,0.1442616869940352,-0.0580640307368265,0.1046329434141354,-0.0058679746535115,0.1089688189964902,-0.0166715338205815,0.1149366902608427,0.0621009703825909,0.098081050316281,-0.0760532430194744,-0.0683062591926654,0.0458329599136496,0.1126578495929451,-0.0518435273119433,0.1300210344813576,0.0755716889933408,0.128714721788661,0.0294500893322507,0.19589705412979,0.1175352618952121,0.1183662954952724,0.1767504214363355,0.0226478127818541,0.070944904700809,0.0708699241010154,-0.036443647876376,-0.0165158889048596,-0.05888092639662,0.0862755816634524,0.1449230776723316,0.0097579375075466,0.0679382633575737,0.1434795546398958,0.1253699373594608,0.1225090335681304,0.0867111334498385,-0.0430846761164468,0.1478406489686387,0.0160473433820206,0.0636509469279626,-0.0686185258599963,-0.1327832455023281,-0.0324213807647842,0.097626195812972,-0.0377577607643738,0.1053015876540006,0.1115198469178871,-0.0513079059683315,0.0766994520678338,0.1077766884260497,0.0988219769218733,0.0663710284600281,0.1309612947729878,0.0407826288887202,-0.0112977460225731,0.1098885161901847,0.0115583784759761,0.1386883729438216,0.1020225988953056,0.1447909030515055,0.1120892499970793,0.1629298107851423,-0.052626675885892,0.0403165001491082,0.0900812943359371,0.1344760284646729,0.1664708290289805,-0.1637415649112293,0.0839520056293215,-0.0078602804740139,-0.0124433751466527,0.2082272090490823,-0.0573229005098725,0.104993464583976,0.1288428209785604,0.0125032602089403,-0.0664569656457495,0.5127164681761,0.1963796615783716,0.2644235475309496,0.0370808737956641,0.1126712544106303,0.0600864360829089,-0.0610313736083247,0.0761920754181154,-0.0581534010803912,0.1017901597655887
NEIL3.rescaled,0.7017756970481678,0.1583192865866627,0.0568104314884836,1.0,0.6525206090984308,0.017323569021834,0.1010883127378616,0.2904511015946967,0.085191596837651,0.1387655718219141,0.6908229339168656,0.7166781746700878,-0.1986243877084054,0.73081907880845,-0.0062465029434978,-0.1724015267427899,0.0672700278274755,0.6310519503985785,0.1629683209752908,0.4905908214288514,0.166011220590784,0.1718296269967473,-0.044264712457893,0.1028603687593392,-0.0902867806024313,0.7208206209689481,0.0108506078401872,0.7126761668032516,0.5226235721575083,0.7180278191584164,0.1323518570528803,0.1081302058843311,0.54108235082759,0.7982056163727344,0.6613186017864392,0.2146478185520728,0.1976280541307884,0.7585134794384301,0.1073802187384247,0.4387511189611448,-0.1477764022087713,0.1941045751752071,-0.007281108972255,0.0965945967378886,0.5141885606291268,0.2201479145253074,0.0323502947642419,0.6687662131201676,0.1465365197871432,0.245085587930204,0.673650763008766,0.3667532003134107,0.0675051372778707,0.1818518485705438,-0.0471132955572067,0.1698185268644491,0.7211375628895887,0.2250263727890613,0.7791179001970847,-0.0239430791844303,0.0290859993922104,-0.0184608349588123,0.2104702333531049,0.6915305959229032,-0.0153381410422662,0.7603251393642961,0.4207724536047881,-0.115132176265305,0.0824162740303114,0.1598612537094264,0.1454815591246452,0.7210583260289053,0.7560950537379877,0.6662694150082434,0.7439886305179753,0.226544248177488,0.2278273774912651,-0.1033188383586652,0.0029189131832953,0.075528408484442,0.0100498520057141,-0.0052824264828938,0.0438661322502208,-0.027714264972464,-0.1126066703408286,0.1899531481304885,0.7480822537971448,0.6516454185914138,0.4846946265014963,0.2412565578111529,-0.0291270785040578,-0.0593769558150902,0.1626316168833503,0.5890154327133325,0.6696720583815988,-0.0043515428460784,0.2679607270958386,0.7716598289557804,0.0878078658969511,0.7205109937865875
MKI67.rescaled,0.7699114995079961,0.0662319195866151,0.0813784606543685,0.6525206090984308,1.0,-0.0912749518651612,0.1391315761498358,0.3340834640119247,0.108086487631749,0.0545582085493014,0.7332318646512432,0.7248984543915974,-0.2288436773830088,0.783637357342363,0.0133538480143725,-0.0767690669528805,0.0006553446459816,0.665339561012588,-0.0166230272051748,0.5649833346432838,0.221244125887432,0.1314759980583219,-0.0464164004695587,0.0675381500636928,0.0473337209157789,0.7118827126590743,0.0467035915471509,0.7187214091624674,0.6101118877496141,0.7772293652009432,0.0607888486127778,0.1947996736429708,0.6290952354946878,0.7690075392289507,0.6852169347723291,0.1617451259156849,0.2334664763901804,0.8357068543852518,0.0238490309334797,0.6045485491066797,-0.0747687311476409,0.1446130887179189,0.0101220509384437,-0.0335191263198747,0.4605702189280796,0.1890109089358684,-0.018071170154851,0.7839383725488027,0.2619064646998903,0.1474452652936846,0.8285171771570874,0.3053316339902836,0.1523609419741041,0.1848839238772665,-0.063693059461621,0.075857910887634,0.7487913631555198,0.1372573044090974,0.7100424911705752,0.1599785554623715,0.0008344519762089,-0.0681717030181786,0.1847966980036255,0.8021162533895095,-0.0688365556174173,0.8110001561389398,0.3356998871286342,0.16506365042249,0.1249356414107398,0.0130283020042208,0.2217099926213919,0.8224240066442653,0.7890246608888379,0.766856803588695,0.7833741667854138,0.1479947949465314,0.1300864599416563,-0.0483391538596912,0.0346812138554895,0.0999890287201896,-0.0282697683707668,0.014975240829698,0.0538277804127599,0.0400322482612859,-0.0661758260793304,0.1453977560111715,0.7965483768884409,0.682306124467911,0.5340645324065101,0.1872341572237665,0.0684948932437607,0.0415063754871581,0.3442905539817712,0.6922596805099083,0.7618247687732506,0.1497874652581919,0.097437502441821,0.745859110915655,-0.0292495359103798,0.6558220370928929
TFPI2.rescaled,-0.0951218350337805,0.124377339059686,-0.1320501635242046,0.017323569021834,-0.0912749518651612,1.0,-0.018231195046232,-0.0413722928118276,0.1120345376602268,0.0337305178424832,-0.1267721648229818,-0.0364021598978611,-0.0218371047917436,-0.0509580022178098,-0.056962052987532,-0.0897276041388943,-0.0016463186368472,-0.0392239421272783,0.257674525313857,0.0039941928271201,0.2890641200643742,0.1591415808874633,0.0739867612457442,0.0481785665143656,-0.0459805455426207,-0.0572198646842342,-0.0099791747228412,-0.0322853819496119,0.0547248785919838,-0.093048501086055,-0.047004625545865,-0.2113901435395467,0.0044210612056268,-0.064425120183413,-0.1000685300340688,0.1359049045477298,0.0920229351370119,-0.060836258418956,0.0238283859213728,0.069239609965644,-0.0206257914551147,0.1649295875003896,6.158287053797574e-05,0.2248816350042786,0.109375890409486,-0.0454475934133822,-0.0755851896166843,0.0027249981347385,0.1067711468766822,0.1841428364715559,-0.1276728792381797,0.1070060379503098,0.07070806485169,0.0049656611751896,0.0204539577189602,0.0921462680196548,-0.0529870307667938,0.220583352267589,0.0159711220983101,-0.1242295357068598,0.1377096480787581,-0.0832731023793635,-0.0214115872933932,0.001352311119345,0.2326983350406355,-0.0565551715500379,0.188199439793491,-0.0266163106909137,-0.0292732338786901,-0.0834802502337813,-0.0682631352709072,0.0376761175353276,-0.0605315643340705,-0.0584623218751219,-0.0715035539928962,0.1805202960203905,0.1144446578888118,-0.0165645920273934,-0.0248315925597532,0.0139046154142284,0.1441139667204923,0.0217768852585854,-0.0574050889753864,0.1166997160715643,-0.183031794512909,0.1987244559391497,-0.0334690859233296,-0.0129251930297227,0.0342996426303131,0.1897046130343297,-0.1594318220106202,-0.0347780262178631,-0.0880068434397941,-0.0574609308891203,0.0237447020270812,-0.1254941288224842,0.2558092824855401,-0.012286626709403,0.0902633632535233,0.0473866630065437
GAL3ST2.rescaled,0.0803831034681455,0.0088041363610823,0.1949409770177824,0.1010883127378616,0.1391315761498358,-0.018231195046232,1.0,0.0920785104495086,0.0440168671831043,0.0904848998964376,0.112810015752814,0.0907250462321809,0.00286413887823,0.1329857153038135,0.1468800749037004,0.1192269712730492,0.1128973062222677,0.0899309595584699,-0.106136035338648,0.0642740158722844,0.0847741977305379,0.0548797028385206,0.0071650818253964,0.0927889875162417,0.1085174999399174,0.0676050149366683,0.2050497814165222,0.101536878963002,0.0849675820531236,0.078753192219737,0.0918586318094545,0.1017920096651251,0.1994010961059195,0.0737320659173182,0.1301266294821259,-0.0505432865636746,-0.1896836046157296,0.152814762695236,0.1000282460286889,0.1924528091832009,0.0154671990444749,0.0509001377840255,0.1177392400685562,0.1641678784571007,0.0518625016938173,0.1805176943716424,0.1160660832628238,0.1011132141211471,-0.0909735880439529,-0.0580432519863574,0.1865788620703841,0.0762775478062101,0.1076763046648782,-0.0175520843727092,0.0110556313988957,0.016005511509652,0.086991642255905,-0.0560392278069356,0.0926775711678198,-0.0532888809431017,-0.0016694881510173,0.1251922776649427,-0.063077566075235,0.1059932514424289,-0.1429678428663636,0.0948413668028638,0.0572974742075191,-0.0203207504284676,0.1412699163867747,-0.0788087220658848,0.0149938229193182,0.0833021084135206,0.062181277229124,0.1070854560122142,0.0803174029487522,-0.0549439920685757,0.0516284354620065,-0.0663147172241693,-0.0678721970739762,0.8146684747383247,0.0876248483637462,0.0378083675546246,0.0406282735870438,0.0542264270591594,0.0160875789073325,-0.0524011251207765,0.0706756518646235,0.0322738306844545,0.062996252653066,-0.0510372476898691,0.1232130750781106,0.1740436212730566,0.0878494936698484,0.0579747612639263,0.1891449093391145,0.165689630794287,-0.0406886792559975,0.0598475815925179,-0.1269001013983845,0.0361359384750795
YBX2.rescaled,0.3422657497845978,0.0267019273387739,0.0531738947103367,0.2904511015946967,0.3340834640119247,-0.0413722928118276,0.0920785104495086,1.0,0.0789719062009634,0.0558152682041333,0.3177999067862089,0.3236209047707566,-0.1992939322748576,0.351491951498783,0.0475709194372808,-0.258897260097275,0.1305321809344328,0.2848126740518517,0.1404239996414673,0.3499812409356733,0.0877369547458433,0.0419414465111279,-0.0622714427394015,0.1784893650194534,0.0935164695342036,0.2790364688837651,-0.0139782743859567,0.4262222913611602,0.3412073332327258,0.4200101960858673,0.0829918771898499,0.078095533755452,0.4619850063411648,0.3004057777914624,0.2929584616582945,-0.0023580572976033,0.1301504936666867,0.3258230085472168,0.1807325043997441,0.2482209648910229,0.033341116782946,0.0408854258987051,-0.0774646165939875,-0.0825938714105899,0.2222670297915005,-0.0673355199995531,0.2142095661661912,0.3462278331640729,0.1796154288090341,0.0440845227868429,0.437104614707434,0.2310628054224202,0.0451312724157417,0.1642717784604396,0.0400641802344155,0.2700858767835583,0.3949242409144823,0.0776897434968783,0.2693626676506595,0.1048535610781747,-0.0633275000564626,-0.0624387096009276,0.0420384727807646,0.3768362658737983,0.0518819611517741,0.3162596821880615,0.2595521059778014,0.1126298167139135,0.054197273252199,-0.0536347545777693,0.056812269421913,0.3438339065881061,0.2865498639727369,0.3441150319108184,0.3551751212360269,0.0616127817222377,0.0322407456923547,-0.1422011759148672,-0.0002310975217881,0.1167112774428276,0.0230092397630017,0.1575689877432843,0.0734126542720635,-0.0277675180574077,-0.0133896355872908,0.0304213424441463,0.3016547486089423,0.3091457220846323,0.3219611638985373,0.0782005071653033,0.0224343803494556,0.0141589584719928,0.0910311888917541,0.4085186701708274,0.3371416103987445,0.0992371812790147,0.0899135532522953,0.2669614156122448,-0.1264817673758906,0.2810880841300008
SYT13.rescaled,0.1193135345500499,0.0840704837084853,0.0128289776661996,0.085191596837651,0.108086487631749,0.1120345376602268,0.0440168671831043,0.0789719062009634,1.0,0.0750472604888717,0.0604637858196145,0.1156209816559099,-0.0108058966466184,0.1435838440888706,0.1267539131423311,-0.0765678686421508,0.1632676886000514,0.1348709123730734,0.2101413908398278,0.0264723572575983,-0.0015923069748826,-0.1161273076483728,0.1063514452608621,-0.0724700863209959,0.1241365416098972,0.0764572435561122,0.2097244768299206,0.1501565114502571,0.0914798460259213,0.125673524909093,-0.0610618020268015,-0.0203934645874195,0.1892013098736958,0.0969013377811577,0.0908888732546563,-0.0315311771927045,0.0319539218477194,0.1554708328763699,0.2926598827143288,0.3064256042622423,0.2230403339147913,-0.1171864867804606,0.0498274851233105,0.0836842973106272,0.2002300278832863,-0.0041421851689719,-0.0210848227791258,0.1174200998604871,0.0847480301213403,0.0313943215955607,0.1426771068989958,0.150468261903979,-0.0327805743935696,-0.0149036706132389,0.2193943471579805,0.1262443562756122,0.1916260872116084,0.0163068784199644,0.1544013018967544,0.0805435649792793,-0.0338233600282259,0.0051481661300518,-0.0524538470796685,0.2014973916916253,-0.0258186234891732,0.1574449970566849,0.2134415913640465,-0.0174493544302674,-0.0752014811825142,-0.0283525954111553,-0.0586446056575464,0.1703222122810092,0.16234605976364,0.1673901445279983,0.0956283255362817,0.0071806551794662,0.0410087612586159,-0.0615115551448248,-0.0517826382383305,0.0236114592326805,0.2642532216432228,0.0638779015937376,0.0063161180121342,-0.1503373336294933,-0.0841487972975299,0.0159680723955146,0.0817947581478591,0.1074942819366092,0.068863075376936,0.0837865948889253,0.0747074299536623,-0.0774948694735428,-0.0333323263599116,0.193375873964721,0.190769679843198,0.0876189810597529,0.1177300661561299,0.1303826411828152,-0.1526748631590026,0.1562786763252328
GYPE.rescaled,0.0469373514715603,0.0432079925304119,-0.0268567337991446,0.1387655718219141,0.0545582085493014,0.0337305178424832,0.0904848998964376,0.0558152682041333,0.0750472604888717,1.0,0.1545485096106444,0.1418229196757156,-0.0244640344842658,0.1201243500757866,0.1343446832495963,-0.1363029556741622,0.0945814589391862,0.0845795112222913,0.0515467546464344,0.1313262229264418,0.260242637025787,-0.0225595958035482,-0.0166428094775371,0.0796775563566619,-0.0376773013453495,0.0645026885664525,-0.0285141762786904,0.0995477293971981,0.1020828513187123,0.0702540624355214,-0.0823654919975382,-0.065943617744253,0.2057150580004301,0.1414252666133402,0.1661491346142683,0.1555751732561602,-0.0912620242346946,0.1208151476618347,0.0207492231245194,0.0696889696926519,0.0457847323882249,-0.0484812001070119,-0.056789183092321,0.1292091133510052,0.1369711550852726,-0.1853100173930248,0.0369277049309104,0.1155478159527415,-0.0179178033131996,0.3128769237868667,0.1003160809468811,0.2913833607352438,-0.0654170297239332,0.1235772151399537,0.0257502271263382,0.124011051461598,0.1834257288085498,0.317521942701077,0.1068394731184006,3.4969329118079954e-05,-0.0165283355762097,0.0255361933666893,0.0325934351502667,0.097384946715673,-0.043393158354691,0.1279682838591606,0.1874219012863404,-0.0334519840545824,0.0229211135275194,-0.0105004181411194,-0.2058713365923492,0.1120474131185167,0.1215339415622774,0.1403755358479188,0.127894044889032,0.3394911072881129,0.3022885613900779,-0.0349542956634601,0.0191910340702681,0.0492985779919515,0.0274299308044921,0.0287858642311276,-7.120890023236219e-05,-0.0788762730485801,0.0701106193284446,0.2919693895462417,0.1800820060229394,0.0697661122443414,0.1327697253981027,0.3013932679974872,-0.0394672129699652,0.0299164625478519,-0.0685094911505414,0.1480191525439602,0.1482098550877647,-0.0387844507642194,0.3948407939326955,0.1302687484684099,0.0417329867752898,0.1253689746176992
