,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
ENO2.rescaled,9535.0,5574.5,14259.5,4845.0,13735.0,1544.0,1530.0,3353.0,3516.0,1300.0,59192.0,0.6087414812654133
ADAMTS15.rescaled,1877.0,2859.5,3641.5,3649.5,1906.5,10008.0,8677.0,13022.0,3161.0,10393.0,59195.0,0.6087215931691019
ADRA2B.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1850.0,1897.0,2824.0,2672.0,2189.0,59196.5,0.6087116491209461
CORO1A.rescaled,3637.0,3632.0,2870.0,9554.5,4867.5,7320.0,6602.0,7671.0,5378.0,7665.0,59197.0,0.6087083344382276
SFPQ.rescaled,9535.0,3632.0,3641.5,2875.0,1906.5,6174.0,7720.0,7272.0,7127.0,9321.0,59204.0,0.6086619288801676
SEC31B.rescaled,2092.5,5574.5,1876.0,2558.5,606.0,6415.0,10574.0,9789.0,9586.0,10136.0,59207.5,0.6086387261011377
ATOH8.rescaled,9535.0,4840.5,4815.5,3649.5,1906.5,8219.0,11471.0,2610.0,5603.0,6564.0,59214.0,0.6085956352257962
BLOC1S3.rescaled,1018.0,332.5,241.5,543.0,673.5,11480.0,10978.0,11039.0,12686.0,10231.0,59222.5,0.6085392856195805
REPS1.rescaled,3637.0,4840.5,4815.5,4845.0,3650.5,8445.0,7278.0,8124.0,5041.0,8559.0,59235.5,0.6084531038688976
RAB5B.rescaled,3637.0,4840.5,3641.5,4845.0,2895.0,7162.0,7635.0,7184.0,8503.0,8904.0,59247.0,0.6083768661663705
POLH.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2166.0,1767.0,3650.0,1677.0,2225.0,59249.5,0.6083602927527777
ZNF483.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1386.0,1943.0,4316.0,1830.0,2032.0,59271.5,0.6082144467131606
FAM186A.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,2014.0,3603.0,3368.0,3728.0,3544.0,59280.5,0.6081547824242264
RTKN2.rescaled,2296.0,3632.0,3641.5,9554.5,2895.0,7818.0,7297.0,6716.0,7224.0,8211.0,59285.0,0.6081249502797592
ARHGAP20.rescaled,13995.0,4840.5,13721.0,9554.5,4867.5,1184.0,2847.0,4027.0,2455.0,1794.0,59285.5,0.6081216355970407
AQP10.rescaled,2847.5,1574.5,3641.5,4845.0,2895.0,8610.0,8707.0,9365.0,8012.0,8790.0,59287.5,0.6081083768661664
GTF2E2.rescaled,4110.5,9581.5,3641.5,3649.5,3650.5,4546.0,5742.0,5565.0,9720.0,9085.0,59291.5,0.6080818594044178
TOPBP1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1484.0,2896.0,2200.0,2439.0,2512.0,59295.5,0.6080553419426693
MGST1.rescaled,2296.0,2316.0,1876.0,673.0,3650.5,11825.0,8901.0,5013.0,9207.0,13541.0,59298.5,0.6080354538463578
BCS1L.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1159.0,2099.0,3049.0,1933.0,3302.0,59306.5,0.6079824189228606
PSMB6.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1732.0,3100.0,2523.0,2281.0,1911.0,59311.5,0.607949272095675
MUC1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1349.0,2133.0,1993.0,581.0,5496.0,59316.5,0.6079161252684893
NIPAL2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3197.0,1597.0,1917.0,2582.0,2259.0,59316.5,0.6079161252684893
CYP2E1.rescaled,9535.0,3632.0,2870.0,3649.5,2895.0,8998.0,4569.0,9754.0,6252.0,7165.0,59319.5,0.6078962371721779
KCTD20.rescaled,9535.0,9581.5,4815.5,2875.0,9573.5,4186.0,3496.0,6610.0,4639.0,4013.0,59324.5,0.6078630903449922
HHIPL1.rescaled,681.5,684.0,830.0,543.0,831.5,10339.0,11966.0,11815.0,10843.0,10792.0,59325.0,0.6078597756622737
EPS8L1.rescaled,2296.0,1905.0,2870.0,1559.5,1274.5,9033.0,10313.0,8666.0,12325.0,9084.0,59326.0,0.6078531462968364
TGIF2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2204.0,2867.0,2968.0,1844.0,1683.0,59330.5,0.6078233141523693
APOL2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2218.0,2140.0,1390.0,3313.0,2515.0,59340.5,0.607757020497998
LRRC27.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2211.0,1835.0,1847.0,2330.0,3353.0,59340.5,0.607757020497998
COL2A1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1571.0,2228.0,1098.0,1322.0,5358.0,59341.5,0.6077503911325608
TAS2R5.rescaled,1530.0,1409.0,1274.5,1054.5,1274.5,14071.0,8108.0,13524.0,12291.0,4823.0,59359.5,0.6076310625546923
SLC6A17.rescaled,5.0,8.0,28.5,188.5,31.5,12086.0,13307.0,13617.0,9388.0,10705.0,59364.5,0.6075979157275065
NUDT16L1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3153.0,1732.0,3109.0,2286.0,1321.0,59365.5,0.6075912863620694
CDK16.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2731.0,2095.0,2060.0,2673.0,2046.0,59369.5,0.6075647689003209
RPS24.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2565.0,2330.0,2534.0,1395.0,2787.0,59375.5,0.607524992707698
ZBTB5.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2016.0,3066.0,2593.0,2289.0,1650.0,59378.5,0.6075051046113866
STON1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1932.0,2954.0,2892.0,1763.0,2080.0,59385.5,0.6074586990533266
LINGO4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2102.0,2546.0,1914.0,2724.0,2345.0,59395.5,0.6073924053989552
DPH3P1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1863.0,3596.0,2378.0,2690.0,1107.0,59398.5,0.6073725173026439
YIPF6.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2296.0,2325.0,2148.0,1885.0,2987.0,59405.5,0.6073261117445838
AGER.rescaled,3207.0,3189.5,3641.5,1722.0,2343.5,10747.0,6961.0,6216.0,9806.0,11585.0,59418.5,0.607239929993901
PARD6A.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3406.0,1166.0,1968.0,1986.0,3137.0,59427.5,0.6071802657049667
XRCC2.rescaled,4821.5,2859.5,2870.0,1888.0,4867.5,8411.0,8964.0,8724.0,7925.0,8099.0,59429.5,0.6071670069740924
ZNF429.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2093.0,2122.0,2775.0,1911.0,2766.0,59431.5,0.6071537482432181
HFE.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1822.0,2943.0,2623.0,2277.0,2005.0,59434.5,0.6071338601469067
PCDH19.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2394.0,1647.0,1417.0,3419.0,2803.0,59444.5,0.6070675664925353
USP49.rescaled,9535.0,13769.0,9520.0,9554.5,9573.5,1636.0,1340.0,1355.0,1767.0,1402.0,59452.0,0.6070178462517568
SULT1A1.rescaled,4821.5,9581.5,4815.5,9554.5,9573.5,4882.0,5084.0,3244.0,3881.0,4022.0,59459.5,0.6069681260109783
COL21A1.rescaled,9535.0,9581.5,9520.0,4845.0,9573.5,3486.0,3435.0,3237.0,3991.0,2266.0,59470.0,0.6068985176738882
PNO1.rescaled,4821.5,1574.5,3641.5,3649.5,4867.5,7956.0,8078.0,9315.0,7540.0,8032.0,59475.5,0.6068620561639839
ZNF493.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1971.0,2301.0,2542.0,2594.0,2305.0,59477.5,0.6068487974331097
SNUPN.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2252.0,2891.0,2105.0,2325.0,2142.0,59479.5,0.6068355387022355
PREX1.rescaled,1530.0,1574.5,1539.0,1888.0,673.5,11116.0,7688.0,13126.0,9880.0,10470.0,59485.0,0.6067990771923312
BMP2K.rescaled,9535.0,5640.5,14112.0,4845.0,9573.5,1806.0,5774.0,3287.0,3357.0,1563.0,59493.0,0.606746042268834
THAP9.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2675.0,1492.0,2038.0,1809.0,3717.0,59495.5,0.6067294688552411
SOCS1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2597.0,2145.0,2425.0,2279.0,2295.0,59505.5,0.6066631752008698
VWDE.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,3982.0,5116.0,922.0,3212.0,3216.0,59506.5,0.6066565458354327
PABPC3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1371.0,2222.0,2762.0,3122.0,2267.0,59508.5,0.6066432871045584
SEZ6L2.rescaled,3178.5,2316.0,13721.0,2314.0,13735.0,2646.0,6618.0,988.0,5194.0,8805.0,59515.5,0.6065968815464984
COX7B.rescaled,9535.0,2859.5,3641.5,9554.5,3650.5,7107.0,6061.0,5505.0,5764.0,5841.0,59519.0,0.6065736787674684
C3orf33.rescaled,9535.0,4840.5,9520.0,9554.5,4867.5,3123.0,2535.0,8035.0,3718.0,3815.0,59543.5,0.6064112593142584
RNF125.rescaled,2296.0,2316.0,1695.0,1888.0,1551.5,9656.0,14128.0,8991.0,11930.0,5102.0,59553.5,0.606344965659887
CCL19.rescaled,4821.5,3632.0,3641.5,9554.5,4867.5,7342.0,3309.0,9058.0,8282.0,5059.0,59567.0,0.6062554692264857
ANPEP.rescaled,1244.0,1905.0,1274.5,1888.0,1551.5,10350.0,12793.0,10634.0,6404.0,11526.0,59570.0,0.6062355811301743
ANGPTL6.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2861.0,2383.0,2228.0,2258.0,2078.0,59572.5,0.6062190077165814
FNBP4.rescaled,2847.5,2859.5,4815.5,2875.0,9573.5,6094.0,7082.0,7039.0,8751.0,7644.0,59581.0,0.6061626581103656
ZMIZ2.rescaled,9535.0,9581.5,9520.0,3649.5,3650.5,5185.0,3854.0,5308.0,4449.0,4873.0,59605.5,0.6060002386571557
CDCA4.rescaled,2847.5,2316.0,4815.5,3649.5,1274.5,9939.0,8566.0,10163.0,6990.0,9046.0,59607.0,0.605990294609
CDK1.rescaled,2847.5,3632.0,9520.0,3649.5,9573.5,7065.0,6720.0,3799.0,6500.0,6307.0,59613.5,0.6059472037336586
WDFY1.rescaled,9535.0,9581.5,13721.0,13719.0,4867.5,1754.0,1183.0,1654.0,2185.0,1438.0,59638.0,0.6057847842804487
GPR12.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2575.0,2551.0,2905.0,2546.0,1303.0,59644.5,0.6057416934051072
SPTLC2.rescaled,13723.5,13769.0,9520.0,9554.5,9573.5,788.0,860.0,734.0,636.0,508.0,59666.5,0.6055958473654901
ARID3C.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2389.0,1954.0,2553.0,3090.0,1920.0,59670.5,0.6055693299037417
FOXC2.rescaled,2847.5,1050.5,830.0,1054.5,831.5,10816.0,9828.0,9583.0,11948.0,10886.0,59675.0,0.6055394977592745
MYH3.rescaled,9535.0,4840.5,9520.0,9554.5,4867.5,4867.0,4012.0,4556.0,4063.0,3861.0,59676.5,0.6055295537111187
STAT4.rescaled,1877.0,3632.0,2870.0,1888.0,2895.0,8718.0,10011.0,9669.0,8531.0,9601.0,59692.0,0.6054267985468431
NCAPH2.rescaled,1698.5,944.0,1033.5,1054.5,1712.5,9941.0,10175.0,11808.0,10643.0,10687.0,59697.0,0.6053936517196574
KY.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2776.0,2426.0,2175.0,2517.0,2043.0,59701.5,0.6053638195751903
GPSM2.rescaled,4821.5,4840.5,9520.0,4845.0,4867.5,5920.0,4774.0,4343.0,11033.0,4749.0,59713.5,0.6052842671899445
EMCN.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2203.0,1074.0,2516.0,3738.0,2424.0,59719.5,0.6052444909973218
TYRO3.rescaled,4821.5,9581.5,4815.5,4845.0,9573.5,4403.0,4300.0,6367.0,4368.0,6674.0,59749.0,0.6050489247169262
TNPO1.rescaled,1877.0,3632.0,9520.0,3649.5,2895.0,8531.0,6490.0,5974.0,8369.0,8824.0,59761.5,0.6049660576489618
PPP2CA.rescaled,4821.5,9581.5,9520.0,3649.5,4867.5,5392.0,5975.0,5412.0,6655.0,3891.0,59765.0,0.6049428548699318
HGFAC.rescaled,3637.0,9581.5,9520.0,4845.0,9573.5,4927.0,5102.0,5754.0,3288.0,3554.0,59782.0,0.6048301556575004
SNAPC2.rescaled,1244.0,2859.5,1876.0,1289.0,1551.5,11940.0,9566.0,9358.0,8638.0,11462.0,59784.0,0.6048168969266261
LRFN3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2863.0,1685.0,2258.0,3349.0,1870.0,59789.5,0.6047804354167219
RASL11B.rescaled,1244.0,1050.5,1033.5,673.0,542.5,11710.0,7544.0,11634.0,11640.0,12723.0,59794.5,0.6047472885895362
AKT1S1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2152.0,2406.0,2533.0,2340.0,2603.0,59798.5,0.6047207711277877
FBXO39.rescaled,14583.5,14407.5,2562.5,13988.0,14002.5,55.0,55.0,42.0,62.0,44.0,59802.0,0.6046975683487577
IL5RA.rescaled,9535.0,14119.5,9520.0,9554.5,9573.5,936.0,1345.0,1381.0,2440.0,1399.0,59803.5,0.604687624300602
SH3TC1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2442.0,2074.0,3370.0,2456.0,1705.0,59811.5,0.6046345893771048
PTCD2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3285.0,2992.0,1981.0,1461.0,2332.0,59815.5,0.6046080719153563
HEBP1.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,2321.0,4891.0,3210.0,4255.0,2116.0,59816.5,0.6046014425499191
CUL9.rescaled,9535.0,9581.5,13721.0,9554.5,9573.5,1094.0,1065.0,1944.0,1243.0,2506.0,59817.5,0.604594813184482
CLDN15.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2795.0,2444.0,2443.0,1416.0,2967.0,59829.5,0.6045152607992363
RAD51AP1.rescaled,1530.0,3632.0,1274.5,3649.5,2343.5,8320.0,8364.0,7932.0,10386.0,12400.0,59831.5,0.604502002068362
MAP2K4.rescaled,4821.5,4840.5,4815.5,9554.5,4867.5,8903.0,3566.0,6221.0,4733.0,7540.0,59862.5,0.6042964917398106
TP53BP2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1179.0,2138.0,2754.0,2838.0,3192.0,59865.5,0.6042766036434992
HOXA1.rescaled,4821.5,4840.5,9520.0,3649.5,9573.5,3761.0,4846.0,6252.0,7018.0,5588.0,59870.0,0.604246771499032
TAB1.rescaled,1018.0,684.0,1033.5,1559.5,1032.0,12321.0,9855.0,10731.0,10226.0,11422.0,59882.0,0.6041672191137863
CHRNA3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1563.0,4157.0,2376.0,1326.0,2713.0,59899.5,0.6040512052186364
HSD3B7.rescaled,1530.0,1289.0,9520.0,2314.0,2895.0,8783.0,7429.0,7349.0,9457.0,9338.0,59904.0,0.6040213730741694
STARD9.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2711.0,2533.0,2115.0,2616.0,2172.0,59911.5,0.6039716528333907
METTL3.rescaled,1244.0,2316.0,1876.0,2875.0,1906.5,11128.0,9749.0,10455.0,8764.0,9599.0,59912.5,0.6039650234679537
KLK1.rescaled,13446.0,4064.0,4065.0,14639.0,14214.5,3275.0,1180.0,1583.0,1957.0,1493.0,59916.5,0.603938506006205
ANKRD65.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2020.0,2282.0,1979.0,2436.0,3436.0,59917.5,0.603931876640768
SYF2.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,4359.0,2431.0,3417.0,3182.0,3473.0,59920.5,0.6039119885444566
FGF7.rescaled,3637.0,4840.5,2079.0,1722.0,4093.5,6483.0,10652.0,6100.0,10751.0,9572.0,59930.0,0.6038490095728037
MALT1.rescaled,536.5,2316.0,1033.5,673.0,1906.5,11145.0,9980.0,11940.0,9719.0,10699.0,59948.5,0.6037263663122165
LY6H.rescaled,1530.0,1574.5,1274.5,1888.0,1032.0,10287.0,8849.0,11009.0,10611.0,11900.0,59955.0,0.6036832754368752
MYO18B.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,2973.0,3665.0,2434.0,3449.0,4385.0,59964.5,0.6036202964652224
SRSF11.rescaled,2296.0,1289.0,670.5,841.5,2343.5,12933.0,12701.0,7898.0,10166.0,8830.0,59968.5,0.6035937790034738
GAS2L3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2677.0,2103.0,1932.0,2280.0,3217.0,59973.5,0.6035606321762881
RAB13.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,2970.0,2540.0,3420.0,4901.0,3094.0,59976.0,0.6035440587626952
SSH1.rescaled,9535.0,9581.5,4815.5,9554.5,9573.5,2588.0,2985.0,3116.0,3420.0,4809.0,59978.0,0.6035308000318209
UNC119.rescaled,4821.5,2316.0,3641.5,9554.5,9573.5,6167.0,5820.0,5546.0,6709.0,5832.0,59981.0,0.6035109119355095
DTYMK.rescaled,13723.5,9581.5,9520.0,9554.5,9573.5,1304.0,1946.0,1528.0,1237.0,2021.0,59989.0,0.6034578770120125
ZNF324B.rescaled,9535.0,3632.0,4815.5,9554.5,9573.5,4463.0,3048.0,4061.0,4873.0,6434.0,59989.5,0.6034545623292938
SLC1A3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1859.0,2590.0,2917.0,1908.0,2962.0,60000.5,0.6033816393094853
TMEM18.rescaled,9535.0,4840.5,9520.0,9554.5,4867.5,3718.0,5184.0,5113.0,3215.0,4460.0,60007.5,0.6033352337514253
SLC31A1.rescaled,96.0,57.5,28.5,56.0,145.0,13355.0,13568.0,12448.0,9381.0,10873.0,60008.0,0.6033319190687068
FRAT2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1787.0,2705.0,2626.0,3394.0,1737.0,60013.5,0.6032954575588025
CTTN.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2811.0,3044.0,2383.0,1863.0,2151.0,60016.5,0.6032755694624911
ACO1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1346.0,3035.0,2454.0,2224.0,3196.0,60019.5,0.6032556813661796
RASGRP4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2914.0,3393.0,1948.0,1861.0,2140.0,60020.5,0.6032490520007425
SYTL2.rescaled,2060.0,14515.5,13430.5,14397.5,14214.5,369.0,304.0,164.0,247.0,320.0,60022.0,0.6032391079525867
EIF4G1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4520.0,2001.0,1694.0,2590.0,1459.0,60028.5,0.6031960170772454
MAP7D3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1558.0,2921.0,3800.0,1742.0,2258.0,60043.5,0.6030965765956883
LEF1.rescaled,4110.5,3632.0,3641.5,9554.5,3650.5,8704.0,7401.0,6105.0,6597.0,6649.0,60045.0,0.6030866325475326
IFI27L2.rescaled,4821.5,9581.5,4815.5,9554.5,2343.5,6310.0,6338.0,4752.0,6361.0,5170.0,60047.5,0.6030700591339397
TPP1.rescaled,9535.0,9581.5,9520.0,4845.0,4867.5,3541.0,4168.0,4563.0,4480.0,4947.0,60048.0,0.6030667444512211
PRNP.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1534.0,2716.0,2987.0,2108.0,2942.0,60051.5,0.6030435416721911
RPS19.rescaled,3637.0,3632.0,3641.5,3649.5,3650.5,7681.0,7071.0,9091.0,10006.0,7998.0,60057.5,0.6030037654795684
NR1H2.rescaled,3637.0,9581.5,9520.0,9554.5,9573.5,4448.0,3423.0,1589.0,3909.0,4828.0,60063.5,0.6029639892869454
SH3TC2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2740.0,2492.0,3204.0,2168.0,1698.0,60066.5,0.602944101190634
DLG3.rescaled,4821.5,9581.5,9520.0,4845.0,9573.5,5205.0,3802.0,3852.0,4316.0,4554.0,60070.5,0.6029175837288855
RRAGC.rescaled,3637.0,3632.0,9520.0,4845.0,9573.5,4954.0,6056.0,7131.0,5761.0,4972.0,60081.5,0.6028446607090769
SPATA25.rescaled,4067.5,1740.0,2052.0,3168.0,1695.0,11410.0,12375.0,4916.0,8111.0,10550.0,60084.5,0.6028247726127656
ZNF79.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3468.0,2924.0,1969.0,1475.0,2490.0,60090.5,0.6027849964201426
ZNF627.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,3034.0,3189.0,3901.0,3093.0,3823.0,60098.5,0.6027319614966455
TAX1BP3.rescaled,2296.0,9581.5,3641.5,2314.0,3650.5,8664.0,8023.0,5740.0,8880.0,7318.0,60108.5,0.6026656678422742
F2RL3.rescaled,1877.0,1289.0,1539.0,2314.0,1551.5,8760.0,13154.0,12585.0,13245.0,3796.0,60110.5,0.6026524091113998
G0S2.rescaled,2847.5,3632.0,1539.0,2314.0,3650.5,11322.0,7143.0,8461.0,7853.0,11350.0,60112.0,0.6026424650632441
SYAP1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2497.0,3073.0,1715.0,2671.0,2397.0,60117.5,0.6026060035533398
NFATC2.rescaled,2847.5,2859.5,2315.0,4845.0,2895.0,7911.0,11586.0,6142.0,8944.0,9777.0,60122.0,0.6025761714088728
GDI1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2999.0,1333.0,2264.0,2293.0,3475.0,60128.5,0.6025330805335314
EYS.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2073.0,2773.0,2535.0,2544.0,2446.0,60135.5,0.6024866749754714
ELAC1.rescaled,423.5,2316.0,670.5,543.0,673.5,11554.0,10591.0,10361.0,11473.0,11532.0,60137.5,0.602473416244597
EFNA1.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,4579.0,3333.0,3031.0,3358.0,2814.0,60138.5,0.60246678687916
PAG1.rescaled,3637.0,9581.5,5584.5,9554.5,9573.5,4452.0,3774.0,3504.0,6085.0,4394.0,60140.0,0.6024568428310042
FXYD1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2577.0,2945.0,1868.0,2171.0,2829.0,60154.5,0.6023607170321656
EBF2.rescaled,13723.5,9581.5,9520.0,14109.0,9573.5,554.0,1173.0,527.0,750.0,652.0,60163.5,0.6023010527432314
CGREF1.rescaled,484.0,684.0,830.0,947.0,213.0,14096.0,7232.0,9253.0,12030.0,14400.0,60169.0,0.6022645912333271
SIX4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2184.0,3164.0,1619.0,1440.0,4000.0,60171.5,0.6022480178197342
RIOK3.rescaled,4821.5,9581.5,4815.5,9554.5,9573.5,3948.0,4743.0,3421.0,4797.0,4919.0,60174.5,0.6022281297234229
PNLIPRP1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3823.0,3717.0,1905.0,1520.0,1453.0,60182.5,0.6021750947999258
SPRN.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,3295.0,2852.0,3749.0,3585.0,3646.0,60185.5,0.6021552067036143
SGPP2.rescaled,3146.5,1574.5,2540.5,2314.0,4867.5,9575.0,11921.0,12041.0,7196.0,5016.0,60192.0,0.602112115828273
TMEM53.rescaled,9535.0,4840.5,4815.5,9554.5,9573.5,4198.0,4966.0,3472.0,3923.0,5318.0,60196.0,0.6020855983665243
ITGB6.rescaled,2296.0,2316.0,1876.0,2875.0,1551.5,9367.0,10160.0,12104.0,8560.0,9100.0,60205.5,0.6020226193948714
PLCXD2.rescaled,2296.0,3632.0,3641.5,3649.5,2895.0,9912.0,8184.0,8627.0,11132.0,6237.0,60206.0,0.6020193047121529
MSRB2.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,3460.0,3617.0,3186.0,2957.0,3938.0,60209.0,0.6019994166158416
TMX3.rescaled,2847.5,3632.0,3641.5,2875.0,3650.5,9189.0,8995.0,8532.0,7562.0,9286.0,60210.5,0.6019894725676858
PCSK1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4491.0,1542.0,2023.0,2256.0,2147.0,60223.5,0.601903290817003
CYBRD1.rescaled,9535.0,14119.5,9520.0,14109.0,9573.5,834.0,681.0,437.0,691.0,729.0,60229.0,0.6018668293070988
MRM1.rescaled,3637.0,2859.5,2870.0,3649.5,2087.5,8967.0,8986.0,10409.0,9781.0,6985.0,60231.5,0.6018502558935059
GLYCTK.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1703.0,2543.0,2822.0,2588.0,2819.0,60239.5,0.6017972209700088
ATP2C1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3089.0,2479.0,2781.0,1873.0,2253.0,60239.5,0.6017972209700088
ABR.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1797.0,3139.0,1621.0,3464.0,2459.0,60244.5,0.6017640741428231
B4GALT2.rescaled,9535.0,4840.5,4815.5,4845.0,4867.5,6394.0,4843.0,6257.0,7708.0,6145.0,60250.5,0.6017242979502002
EEF2K.rescaled,13723.5,9581.5,9520.0,13488.5,9573.5,915.0,563.0,1347.0,1248.0,297.0,60257.0,0.6016812070748587
FOXD1.rescaled,2537.5,5640.5,4815.5,3186.5,4130.0,8468.0,7927.0,8103.0,6887.0,8568.0,60263.0,0.601641430882236
GLRA3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3286.0,1036.0,1054.0,2201.0,4922.0,60263.5,0.6016381161995175
IQCH.rescaled,2847.5,3632.0,3641.5,4845.0,4867.5,9774.0,6484.0,7639.0,8903.0,7636.0,60269.5,0.6015983400068945
FANCF.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2486.0,2482.0,2644.0,2557.0,2336.0,60269.5,0.6015983400068945
GJB2.rescaled,321.5,251.0,125.5,188.5,350.0,10315.0,13624.0,11512.0,10618.0,12966.0,60271.5,0.6015850812760203
CAPN8.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2053.0,1203.0,8397.0,421.0,446.0,60284.5,0.6014988995253374
XCL1.rescaled,838.0,1289.0,2315.0,2314.0,1906.5,7571.0,8871.0,13142.0,10355.0,11719.0,60320.5,0.6012602423696004
C11orf54.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2783.0,2728.0,2093.0,2377.0,2578.0,60323.5,0.6012403542732889
TPBG.rescaled,13723.5,9581.5,9520.0,5643.5,9573.5,2821.0,1957.0,1821.0,2476.0,3212.0,60329.0,0.6012038927633847
TMEM62.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2657.0,3072.0,2126.0,2272.0,2447.0,60338.5,0.6011409137917318
FLNA.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,3503.0,3857.0,2485.0,4468.0,2978.0,60342.0,0.6011177110127018
PTPN6.rescaled,4821.5,4840.5,9520.0,9554.5,9573.5,4391.0,4250.0,4445.0,5069.0,3881.0,60346.0,0.6010911935509533
STK3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2707.0,2981.0,1871.0,2597.0,2434.0,60354.5,0.6010348439447376
PABPC4L.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2963.0,2306.0,2281.0,2244.0,2810.0,60368.5,0.6009420328286177
