,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
NOXRED1.rescaled,189.5,427.0,175.5,490.0,277.5,275.0,330.0,305.0,211.0,256.0,2936.5,0.9816797486144626
IRF7.rescaled,96.0,182.5,331.5,56.0,438.0,535.0,245.0,352.0,550.0,183.0,2969.0,0.9814642942377556
KRT15.rescaled,423.5,684.0,331.5,543.0,542.5,81.0,90.0,117.0,100.0,88.0,3000.5,0.9812554692264857
DAOA.rescaled,189.5,130.0,125.5,88.5,97.0,493.0,696.0,427.0,375.0,423.0,3044.5,0.9809637771472516
MAPK4.rescaled,189.5,427.0,241.5,134.5,97.0,666.0,288.0,439.0,199.0,373.0,3054.5,0.98089748349288
ANAPC10.rescaled,423.5,539.0,438.0,425.5,145.0,202.0,188.0,313.0,208.0,203.0,3085.0,0.9806952878470472
TMPRSS6.rescaled,591.0,427.0,830.0,673.0,395.5,43.0,51.0,44.0,15.0,20.0,3089.5,0.98066545570258
POLQ.rescaled,321.5,427.0,670.5,134.5,831.5,130.0,104.0,145.0,179.0,159.0,3102.0,0.980582588634616
BEX1.rescaled,23.0,684.0,208.0,924.0,1274.5,2.0,2.0,1.0,1.0,2.0,3121.5,0.9804533160085916
COX7A2L.rescaled,536.5,332.5,438.0,253.5,97.0,302.0,273.0,323.0,300.0,328.0,3183.5,0.9800422953514888
LDLR.rescaled,189.5,182.5,85.0,134.5,542.5,200.0,530.0,708.0,294.0,347.0,3213.0,0.9798467290710932
CHRM1.rescaled,681.5,539.0,438.0,332.5,542.5,82.0,207.0,120.0,266.0,101.0,3309.5,0.9792069953064092
TMEM41B.rescaled,34.5,14.5,125.5,134.5,145.0,499.0,574.0,573.0,670.0,540.0,3310.0,0.9792036806236908
TCN1.rescaled,321.5,427.0,1033.5,841.5,438.0,67.0,41.0,81.0,73.0,49.0,3372.5,0.9787893452838694
KCNE4.rescaled,423.5,332.5,739.0,490.0,919.0,135.0,137.0,75.0,77.0,87.0,3415.0,0.978507597252791
ARFIP2.rescaled,423.5,251.0,830.0,425.5,145.0,300.0,194.0,372.0,322.0,213.0,3476.0,0.9781032059611254
CMA1.rescaled,189.5,332.5,670.5,1054.5,673.5,154.0,174.0,79.0,89.0,84.0,3500.5,0.9779407865079156
SLC5A6.rescaled,321.5,251.0,331.5,134.5,350.0,330.0,415.0,343.0,424.0,602.0,3502.5,0.9779275277770412
ASPM.rescaled,189.5,182.5,175.5,841.5,438.0,241.0,634.0,273.0,270.0,287.0,3532.0,0.9777319614966457
HUS1B.rescaled,681.5,182.5,331.5,425.5,1274.5,97.0,158.0,149.0,146.0,114.0,3559.5,0.9775496539471242
