,TDRD1.rescaled,GRIK3.rescaled,SLC7A4.rescaled,LRP2.rescaled,BEX2.rescaled,AGTR1.rescaled,CKMT1B.rescaled,SLC4A4.rescaled,ENPP5.rescaled,CKMT1A.rescaled,RAB40A.rescaled,IER2.rescaled,AGXT2.rescaled,PLCH2.rescaled,IGFALS.rescaled,PCDHA1.rescaled,TAL2.rescaled,OGDHL.rescaled,HSP90AA1.rescaled,GRB14.rescaled,GABRB3.rescaled,CBWD3.rescaled,NRIP3.rescaled,SOWAHA.rescaled,ESRRG.rescaled,TAS2R10.rescaled,ATP1A3.rescaled,NPY5R.rescaled,CNTF.rescaled,PAX2.rescaled,COL4A6.rescaled,TMC3.rescaled,JUNB.rescaled,ARHGEF38.rescaled,HS6ST3.rescaled,SH3BGR.rescaled,IQUB.rescaled,AHSA1.rescaled,DUSP4.rescaled,SELE.rescaled,IGFL3.rescaled,NOXRED1.rescaled,IRF7.rescaled,KRT15.rescaled,DAOA.rescaled,MAPK4.rescaled,ANAPC10.rescaled,TMPRSS6.rescaled,POLQ.rescaled,BEX1.rescaled,COX7A2L.rescaled,LDLR.rescaled,CHRM1.rescaled,TMEM41B.rescaled,TCN1.rescaled,KCNE4.rescaled,ARFIP2.rescaled,CMA1.rescaled,SLC5A6.rescaled,ASPM.rescaled,HUS1B.rescaled,RAD51.rescaled,EGR3.rescaled,CYP24A1.rescaled,MAS1L.rescaled,PHKA1.rescaled,SMARCA1.rescaled,FGFR3.rescaled,MXI1.rescaled,FOSB.rescaled,ABCC8.rescaled,LGALS9C.rescaled,ORM2.rescaled,ZNF492.rescaled,KLHDC7A.rescaled,FOS.rescaled,MT1A.rescaled,SFTA2.rescaled,MMP27.rescaled,RNF183.rescaled,S100A7.rescaled,ATAD2.rescaled,S1PR5.rescaled,RGS9BP.rescaled,IQCA1.rescaled,EGR1.rescaled,PEX5L.rescaled,MRPL53.rescaled,SVOPL.rescaled,TONSL.rescaled,PROM2.rescaled,PRLR.rescaled,TRPT1.rescaled,CASP14.rescaled,PDZK1.rescaled,GJB3.rescaled,TRPV6.rescaled,GRM3.rescaled,BEX4.rescaled,PIGA.rescaled
TDRD1.rescaled,1.0,0.0420551418249162,-0.0491789347999314,0.0058279513952339,0.2267837129094963,-0.0400101921325903,0.0135699918008543,-0.060000555948671,0.1560941476297804,-0.0196569523830045,0.1971884569317332,0.1640191480719502,-0.0238161260778656,0.0778828877361498,-0.0997156641880602,-0.0012224479532507,0.2999477550738075,0.0689192511492149,-0.101290400079446,0.0053038315698712,0.191746750266966,0.0204757983928341,0.1036109473194405,-0.0265646227008337,-0.0053401544885595,-0.0137230700902383,0.0070847511800668,0.0622292816122274,-0.0685735586545252,0.1402396113418665,0.1538507065511783,-0.0003585000308875,0.012023283219671,-0.0177040897682218,0.06152377200751,-0.0297256542960222,0.04566332152615,-0.0347703514731029,-0.003909104459324,-0.0687751074831119,0.0800168180699747,0.1076846494291403,0.0204370149845759,-0.2018478936019181,0.1474348101255876,0.0061233968547716,-0.0226870448151044,0.0505186311259142,-0.0185408621427152,0.0417751051906527,-0.0741363561620762,0.1464779454746161,0.1267256316305455,0.0363546078686265,0.105516556628562,-0.1089410887984625,0.0501453287324927,0.0090172407915079,0.0210109780806429,-0.1562678705965845,-0.099848371232434,-0.0444260792524372,0.0175785703091943,-0.0053833148147962,-0.017841195813742,0.1193643197908891,0.0399953541404088,0.037250586799011,-0.1478577904343857,-0.0223939949759571,0.0460589487988509,0.048782313948293,0.1992530439158414,-0.0478230643355988,0.0112005040753205,0.0363835003789074,0.0251449734049364,-0.0211966660029126,0.0979319227586981,-0.0774534291863049,0.1230547247704056,-0.201417667638059,-0.0062545325769042,-0.0455560838602555,0.0532513847749393,-0.0119547405313759,-0.1119568200922095,0.2326417870497873,0.017058691153442,0.0260789685277275,0.0656096646914581,-0.012259151849418,0.2162572767021359,0.1695140474920646,-0.0253115115884299,0.0824348227964293,0.2141064966138017,-0.1211941343758835,0.1614758061224355,0.0777656689250266
GRIK3.rescaled,0.0420551418249162,1.0,0.0396080899373839,0.2871045078413186,0.3031582990077455,0.0560284950543731,0.0942144720335313,0.2131996218506821,0.0506159673151979,0.0838381942421443,-0.0079948263676741,0.1224618541137693,-0.0019792545357822,0.0781085012374358,0.1043504178097384,0.0371721013076997,-0.0200796470547652,0.1367389369607452,0.0097040680193453,-0.0737137074856588,-0.0285137091820249,0.1088374881392903,0.0416186397156074,-0.0059224463239922,0.016052892119481,-0.0173495101775533,0.0113362145120401,-0.0055626044179579,0.0873595069609454,-0.0639016121276649,0.1074508171321373,-0.0222905896640132,0.1208344600160704,-0.0443854247595594,0.0501824637242506,-0.0306295258117053,0.0305366273985386,0.1047008912356852,0.0369324652915113,0.0483022193934715,-0.1510719395902545,0.3160622831680125,0.0564406880796009,-0.09881815011059,0.0506890013050853,0.2628068981732874,0.0070350571816073,0.1770809245478554,-0.0836330883749499,0.1614305537819257,0.1818836427242049,0.0019648784375568,0.0189203442750986,0.0774716490459987,0.0717730815867771,0.1710055293505208,0.2068466971024716,0.0342861262078455,-0.0754875043720632,-0.1535046092959473,-0.004302437890651,-0.0375375106888021,0.0523031484444521,0.1343927886780974,0.0391347258681219,-0.1132500545052635,-0.1002244307105154,0.0208324204062561,-0.0022166504040198,-0.0282920340818471,0.1390052517235868,-0.0285837365253836,-0.0397385486462564,0.0703729772650359,0.024845627209867,0.0726313388098303,0.1953774926091772,0.1758094222161268,0.0861078173115286,0.0872137549649254,-0.0026792658872166,0.0476237829691484,-0.0162021551673043,0.0680026015063027,0.1903488369265549,-0.0338858862662824,0.1956690946605333,0.0071513488434721,0.1265586994788713,-0.0693147405358495,-0.0927433505572002,0.1544548102001062,0.1980800679168899,0.0641031074755567,0.2887491102568785,0.1693941862795135,0.0349033461496346,0.0246974367564941,0.2014216233055712,0.0703602795437481
SLC7A4.rescaled,-0.0491789347999314,0.0396080899373839,1.0,0.017752781050394,0.1142465910575619,0.0643847961159017,0.2991217569810006,0.1196503837218468,-0.0533028486114021,0.3219006111059744,-0.1104024522018145,0.0279974931141885,0.1285767396031162,0.1631616335627019,-0.0053582189197217,0.2458511770850799,-0.074295470143674,0.1253675203555297,-0.0845812120499187,0.092910606838371,-0.0045756048841207,-0.081795833222977,0.0185205258115378,0.0871286290942283,-0.1297451503669921,0.1097010508854108,0.0860037795912063,-0.039756907382731,0.1979499553834982,0.1813035673008447,-0.1990140321428629,0.0072866173322551,0.0862863153783689,-0.063710032732775,-0.0787017817496265,-0.0071289480363391,-0.0396748220383973,-0.0501283907429621,0.0051673662472242,0.1598449139460982,-0.1109509256524514,-0.0177256293969296,0.0827682767565505,-0.0376210908250824,-0.043660473355932,-0.0491583507394477,0.0148569277508222,0.005408169601493,-0.072821452067774,0.1021588292442928,-0.0076991585098558,-0.104302041332243,0.0078190078227237,0.0822696559053906,-0.0111696644798107,-0.010316416399561,0.0664434241107485,0.003114667933648,0.0161504298832804,-0.0855835253936498,0.0150523744562519,-0.0626000455400411,0.0619582423675453,-0.0901303747490137,-0.0972757549085303,0.0215680760209904,-0.0279399718539785,-0.0428510942377243,-0.0412192812859133,0.0889642301676031,-0.0408280907025716,0.0141128447800763,0.1723806994099917,-0.059158354408458,0.0594329112812978,0.1441652991343929,0.0185069012989132,0.0437658263151727,-0.1457595621889362,0.1139033230985369,0.035759276142858,0.0255808379310491,0.0955275789679628,-0.0442832998097295,0.061682208510373,0.1127848792585199,0.0748174234673166,0.1285469953078541,-0.053519107046303,0.1108922074927768,0.0292232398956063,0.0715319571851391,0.0214897244333032,-0.0977648132414885,-0.0411260931478796,-0.039311039644309,-0.0325499066497067,-0.0305707187259499,-0.0963550176793808,0.0815935778432821
LRP2.rescaled,0.0058279513952339,0.2871045078413186,0.017752781050394,1.0,0.247516048532047,-0.0158075015910041,0.1766464298209162,0.1032310708915857,0.2614550283505142,0.1718360006436298,0.005375538180001,0.0815263130981456,0.0209439790474847,0.0538660416662187,0.3038180504885993,0.0610810993606393,0.0537435153453485,0.1910204945469724,-0.0880281708919271,-0.1104024247801164,0.0709659831937086,0.0593211046149868,-0.0229087532042326,-0.0129305941020988,0.1040849986827304,-0.0116308685173984,0.1349978154367315,0.1217191576408723,0.1409763774735151,0.1031669748726439,0.0697671661320187,0.0170676970649731,0.0663373595144404,0.1744562041238442,0.155171980454912,0.0239765290470616,-0.0054068184418745,-0.0280925128644315,0.0010754127679889,-0.1950506875599834,-0.1150323245839369,0.002034489271205,0.0833404133680813,0.1461116969801537,-0.0449933014995046,0.1835204930972746,0.1234689629190358,0.1218510343348588,0.0219938097264716,0.1211798976772452,0.0861659054505818,0.0525761015549458,0.1021155025984963,0.0179280850630904,0.1717401320874649,0.310047340983735,-0.0440034108476704,0.0478683261123016,-0.0765457036489657,0.0363762871676855,0.0482283792058005,0.1816599734295005,0.0257913640271559,0.05202115153186,-0.0088919871213372,0.0181762187324654,0.0928828601320331,0.0809555640407341,0.1253561822300677,-0.0535714040461188,0.1114187047972866,0.0667587653231138,0.0968597788451351,0.0654520497294423,0.0950852563109555,-0.0390335587966777,0.29658381578145,0.0150025897106405,0.0866762020121565,-0.0234738329307494,0.0286457037912278,0.2208022891144263,0.0235028963485567,0.0951619726693104,0.0163813519465295,-0.0301544106222841,0.159747395923838,0.0509174663721888,-0.0730428536660265,0.1448704129110138,0.0659108162977924,0.1557142518380058,0.2103368343988706,0.0419903599440079,0.1460595955565642,-0.0050861257442306,0.2417491007075417,0.1321220814399705,0.1151092673217244,0.1474415452656761
BEX2.rescaled,0.2267837129094963,0.3031582990077455,0.1142465910575619,0.247516048532047,1.0,-0.0561972335758583,0.0526231494573093,0.0700736955112081,-0.0501339922253214,0.0535084380077392,0.3203635469631225,0.0887925227768034,-0.0330944483774712,0.1058227942081563,-0.0111055398432148,0.2426956241580061,0.1596307555545308,0.0337487108932228,-0.0929185783762784,0.0316465331331713,0.0816708354245975,-0.0729686421802341,-0.0009188797142613,-0.0235823714585646,0.025543086527017,-0.0265840736939858,0.0639044808896045,0.1363739334691317,0.2300396499710132,-0.0786578578552049,0.0178424093140179,0.0576981033318645,0.0962832873364721,0.0133411516208477,0.0342973443219125,0.0882601677172376,0.0214620614733068,-0.0443205735706467,0.1022105284741244,0.0666709788129315,0.0693983233499942,0.2092367602978877,-0.0014540750956176,-0.1004936274558006,0.0939101806737559,0.1468582169917469,0.0492189822785842,0.1753686998845533,-0.1121743301401671,0.2439612004514241,-0.0146360091455392,0.2165258301369739,0.1071357884880236,0.0161514176255562,-0.0537280934363893,0.2205737520017204,-0.0646151871208711,0.0719546672395715,0.0110185123164222,0.0271945380948007,0.0108944795565697,0.0121296145386341,0.0277085782491685,0.1581994131517136,0.0199563380956158,0.0324151232686543,-0.0730462073344034,-0.1130118944825669,0.1523062465023019,-0.1228888863184756,0.0098222425005471,-0.0036216518815716,0.0228815906939407,-0.1740513123633334,0.0473291126255888,0.1062645477348806,0.0947690614610621,0.0535884360618802,0.0407018338686387,0.0884254771991191,0.0523015814720009,0.0502391972800774,-0.1012129951773976,-0.0279219192467707,0.0580864412085742,0.012217057991224,-0.148240661882173,0.1384458658080748,0.010799195250787,0.2132587616163435,-0.0484558464258428,0.1441693327433641,0.1297289030494623,0.1383273836418403,0.0669637096507423,0.1302417533768616,0.2171938932047016,0.0647872114741167,0.6989551283404849,0.1442944582212274
AGTR1.rescaled,-0.0400101921325903,0.0560284950543731,0.0643847961159017,-0.0158075015910041,-0.0561972335758583,1.0,0.0176450759882608,-0.0972085235445555,-0.0414661935584899,0.0513516439953943,-0.0672278851285489,-0.0127397499026242,-0.0300948573766632,-0.0753855929541521,0.1595533059973597,0.088912172291587,-0.0327583091098866,0.0222657764509815,-0.0165396879815061,-0.1186558636553301,0.0776136084853104,0.0661352442463834,0.0849736229647136,0.0465159446886633,-0.1154998867950982,-0.0421940679907799,0.0682988939939039,0.0578280639125579,0.0489728259120284,-0.0137308283074236,-0.0171093790971003,-0.0682672906787722,-0.0146869753647655,-0.0288869996231416,0.1083565557246666,0.0960748610038848,0.1054566010998699,0.0022041050346882,-0.0500921974502982,0.0686132529335663,-0.0426651911792814,-0.1071419952235693,0.0561507090495348,0.0201112867125504,0.1471779789999121,-0.2333101287102901,0.2232788697284512,0.0244109280606327,0.0457943500358297,0.0159130355154003,0.086359444870309,-0.0502176962577815,0.0012529004268609,0.0206735877872043,0.0672020450990832,0.0842067712582572,0.0021741875641311,0.001462433154446,0.0777135393780653,0.0074280207878949,0.1049898609110472,0.0412682462961807,-0.0415975286047845,0.0144734513952329,0.0803016583492233,0.1136053331584117,-0.006758857841669,0.1325352086236229,-0.1509431138646889,0.0583656486774572,0.0413801735299923,0.1165697082150066,-0.113276910830555,0.0134802391902417,0.0282264977768997,0.0308791535864452,0.1553596898731924,0.0777744521305936,0.0029723898784572,0.0420914809304878,-0.1033699552445663,-0.0749378572752333,-0.2096331978172174,0.0694198125094706,0.1623070559800538,-0.008352150669388,0.2193288778944324,-0.0469006774352586,0.0386297852264337,-0.0639674355952738,0.1235934342402721,-0.0853426990975122,0.1853709391186035,-0.059338823202953,0.0391228699722847,0.120258596742047,0.0441907337539514,-0.0039095729765377,-0.2074061032170734,0.1050649486214707
CKMT1B.rescaled,0.0135699918008543,0.0942144720335313,0.2991217569810006,0.1766464298209162,0.0526231494573093,0.0176450759882608,1.0,0.072857136044455,0.1721781587409547,0.9562918257411358,-0.2098004880485482,0.0335825197679122,0.2185722572074037,0.2250862805898701,-0.0800163882281487,0.153655392166112,0.1502849127719302,0.1629657459285634,0.0176845851606031,-0.0099269890709808,0.1075960123082317,-0.0281906735710205,-0.0029849084545015,-0.0839749166309101,0.0260210173011727,0.1900035538838795,0.0676074071741242,0.1357292988008025,0.1001118640025236,0.0924782045033087,-0.2308818692959765,-0.1460503320974077,0.0147266777972527,-0.0780947077573783,-0.1485863066269402,0.1031368963630202,0.0393300995453371,-0.1182006102236871,-0.0062759826597694,0.0636539037004233,-0.0326549557602198,0.0890807819176239,0.1550167772474799,-0.0936434225479438,-0.0775009872346858,0.0479576534868966,0.1681745512641753,-0.0674637917562179,0.0920359931026256,0.11407180484049,-0.077496540430663,0.1109231474929231,-0.0928038719071483,0.0498098995215485,0.013978610177819,-0.0153823887170741,-0.0195114207877197,-0.0393695768923707,-0.0476258349294036,0.003431602326506,0.0705994527749179,0.2162409190333969,0.188198865539055,-0.0514583269411544,0.0329211540688675,0.0098753118866571,0.0190503983060971,-0.0070503032422941,0.0819606923813444,0.1933710720099868,0.0892169770778967,-0.0899940599871055,0.0857651668374998,-0.0425779256832579,0.0366850078621744,0.072564750298783,-0.0324105486158792,0.0499275330429092,-0.1778395358930243,0.1601166363219913,0.0299272382270583,0.127429024189826,0.109456260782431,-0.1353693354290263,-0.0294362293616682,0.2038260252456454,0.1464339055620272,-0.0986191188295076,-0.0477501509363286,0.1427760112394336,-0.0910632477395622,0.0463924342908398,-0.0065137263568447,0.0181019607248418,-0.0539528725085179,-0.0723171713529375,0.0207267403026113,0.0257179749131376,-0.074577319919981,0.189737549197033
SLC4A4.rescaled,-0.060000555948671,0.2131996218506821,0.1196503837218468,0.1032310708915857,0.0700736955112081,-0.0972085235445555,0.072857136044455,1.0,0.0732048516979302,0.1583813843325558,-0.0843351042669075,-0.0314960743093839,-0.0153844666171946,0.084413649698941,0.0710060402603229,-0.0305938255111144,-0.0502465651145187,-0.0142215890241183,0.0251545397932349,-0.019179681188131,0.0305180813083425,0.0250685651740991,0.1179393347197653,0.2477824655496568,-0.0121135074947434,-0.0438536812370849,-0.06577836566602,0.0734400289985408,-0.0530616538708284,0.0903379513541388,0.016483022592613,-0.0380570987043575,-0.1238467746511229,0.1380595752421453,-0.0195389281254611,-0.1158831209105129,-0.0898854492683097,-0.0248284138442289,0.2025637409282095,-0.0368345192110892,0.1248156128923004,0.1050113947084214,0.0324432867690518,0.001129639384287,-0.0186361401799927,0.049585949498896,-0.0457970272219067,0.059207858164535,-0.0681012026645567,0.0217569007050188,0.0432994686223756,-0.0386679208463743,-0.021932060208586,0.0019647129760767,0.0281856864380487,0.0785176975824771,-0.1036185402303374,-0.0155771551981732,0.0935483247198017,0.0437821419924818,0.0225793813787019,-0.1340793730476178,-0.0521949082952373,0.0090010599672004,-0.0237159720017841,0.0635821710372632,-0.059448569564856,-0.0887922036178605,0.0364420030713381,-0.041156022749455,0.0680973565020849,-0.0583710990105977,0.0335419354142287,0.0095711893232117,0.2581169889332146,-0.0174749204118392,0.0224310737394099,0.0491238191038548,0.0565372327960535,0.0558777428101899,-0.0108660110835404,-0.0087086245841283,0.0443365372861527,0.1164944363406708,0.0593815697600874,-0.088570179341429,0.0306786061474669,0.1247599593436235,-0.003163949425518,-0.0342063144251229,-0.2519637497919494,0.0549539130390635,0.0086565509604753,-0.0073747124322673,0.0151360618855275,0.1475891366691311,0.1216689911453473,-0.2434980155161234,0.0025506062269852,-0.0698600373354155
ENPP5.rescaled,0.1560941476297804,0.0506159673151979,-0.0533028486114021,0.2614550283505142,-0.0501339922253214,-0.0414661935584899,0.1721781587409547,0.0732048516979302,1.0,0.144103698570693,0.0511224590532181,0.0904007316304993,0.1022909468748407,0.06410368600524,0.1931881923204473,0.012073795753985,0.1734413082884401,0.0791221401464065,0.1219984399367094,-0.0258311502875668,0.0570803750219049,0.1111696685063023,0.1054019384931107,0.0453481109128768,0.1511276713141002,0.0587513999467311,0.0383187162361707,-0.0104269933038785,-0.0377556183935415,-0.0278836754550406,-0.0504247367606767,-0.0025248949035568,0.0762320672527119,0.0207525884768039,0.0684751189761282,0.0518114259155125,0.0114376876047901,-0.1049076626366804,0.0300918040344624,0.0225671765075534,0.1358292629955048,0.0332958886840019,0.1753044891503786,0.0661336604086954,0.0186259365718392,0.0967179572483642,0.0966693885233468,0.0771484934888249,0.0142738755667701,0.0262013671369761,-0.016999180587161,0.189219482617318,0.0424753010326764,-0.0459017384539813,0.1859685647261711,0.0278378228289502,0.1256210960069975,-0.0636718674684779,0.1259840483253151,-0.0502120964488322,0.0435372350468758,0.0495107024768094,0.152317325107798,0.0724919969965168,0.0684564618811332,0.0434485494585139,0.2205648166678606,0.1346523462058028,0.0133851766622763,-0.0327743615339575,0.0779336638779881,-0.023918048640013,0.0973599120841508,0.0063574350260273,0.1830171743160339,0.0652910277626984,0.015569123187848,-0.0441988831743841,0.1893423829439868,0.1587652678159087,0.1260609564582044,-0.0565899585886348,0.125173607439599,-0.0385146912071904,0.1703895454258413,0.0757674118015374,-0.040502975960946,0.0130973896679227,0.0766203437185014,-0.0321564156083213,-0.0889505309987382,0.1868469421851174,0.009998595319168,0.1600744313184491,0.2117826530920772,0.0482675090666929,0.2354369814463139,0.1077799505114193,-0.110885814556545,-0.0529603938119438
CKMT1A.rescaled,-0.0196569523830045,0.0838381942421443,0.3219006111059744,0.1718360006436298,0.0535084380077392,0.0513516439953943,0.9562918257411358,0.1583813843325558,0.144103698570693,1.0,-0.2126608380791153,0.0134472060004103,0.2095144356380142,0.241576381786992,-0.0957391177494947,0.1656233779711293,0.1291798493839634,0.173003487120637,0.025042766681025,-0.0318870651833362,0.0810603085840749,0.0155713874346629,0.0059483005474044,-0.0449686878533169,0.023013103638156,0.207826051050724,0.0486751766002083,0.154521026897704,0.1351981142314608,0.0888295768052514,-0.2392846844797859,-0.1460864600579028,-0.0074630563304005,-0.0398516907624538,-0.1264272120754377,0.0757125621617822,0.0075343315728989,-0.0877202519057545,0.0323999382304249,0.0677739428654318,-0.0181907350577066,0.0641062534302498,0.1676603828798845,-0.0749198767392535,-0.0594385690850578,0.0138347068570226,0.1561760904164193,-0.013303529955075,0.0586146262175461,0.1094209634844715,-0.0618390040568727,0.0986182660894185,-0.1136211071947261,0.041296406529762,-0.0315453932187132,0.0070175985041082,-0.0371042773437597,0.004866282326063,-0.0615362136027214,0.0075046021733308,0.0591029964293266,0.1952162402923877,0.175885603383068,-0.0459127164200258,0.0559829603795955,0.032219228707581,0.0180076450981674,-0.0318454987032466,0.0559463689587174,0.2018495920837378,0.1166894499605935,-0.1071578094958061,0.0733818549889863,-0.0448005751170342,0.0713064397009715,0.0709028697389075,-0.0080827625652763,0.0108963794880051,-0.1658060653421324,0.1491566498377536,0.0386395446211813,0.1464144262639262,0.1084271405843704,-0.1110272015830245,0.0108120905994187,0.1802536396764863,0.1469792636685629,-0.0564742267541941,-0.0536803106544638,0.148726230745146,-0.0862242469913089,0.0249659911905575,-0.0239015115233592,-0.0045397416122351,-0.0646661591219687,-0.0357634801259836,0.0251731515819871,0.002061635399339,-0.0949351599636321,0.1882917651791978
