	feature_importance
GPR26.rescaled	-0.10375206575293366
JAKMIP3.rescaled	-0.1036937513030456
ARSH.rescaled	-0.10320071632933552
ARL11.rescaled	-0.10319260158626213
TLX2.rescaled	0.10309696995837873
PCDHA4.rescaled	-0.10307483200598784
TFF2.rescaled	0.10307308553245911
ANKRD45.rescaled	-0.10285751335109253
ACOX3.rescaled	-0.10281762840773838
GRM4.rescaled	-0.10273158947861241
NDST3.rescaled	-0.10250780085413773
DGAT1.rescaled	0.10244523461572085
IQCA1.rescaled	0.10237525968130876
C15orf48.rescaled	-0.10220008218751994
GUCY2D.rescaled	0.10219058192599893
SPACA4.rescaled	-0.10206464550250273
PALM3.rescaled	0.10169355000355174
NTNG1.rescaled	0.10164635236369308
PRG4.rescaled	0.10157667663612628
RNASEH2A.rescaled	0.10131929019551936
TAS2R46.rescaled	0.10116320681725971
DNAH9.rescaled	0.10114221886220494
FAM71F2.rescaled	0.10112363475443117
S100A12.rescaled	-0.1009471685385405
IGFL4.rescaled	0.10080561782817739
TXNRD2.rescaled	-0.10071096687758316
HBD.rescaled	0.10065598838043656
MYO3B.rescaled	-0.100569057917164
CENPI.rescaled	0.1003448113328142
OR7C1.rescaled	0.10030962453499156
SERPINB10.rescaled	-0.10028310565743474
CYTL1.rescaled	-0.10028066670550322
ANKAR.rescaled	-0.10027447249377701
PPIAL4G.rescaled	0.10012701878433165
DNAJB12.rescaled	-0.09970104427901288
FAM124B.rescaled	-0.09962558788325147
PLA2G3.rescaled	-0.09959849363627579
SLITRK6.rescaled	-0.09959420463505754
RNF148.rescaled	-0.09915718306948047
TSNAXIP1.rescaled	0.09911546704290754
MUC5B.rescaled	0.09904616714045814
LEAP2.rescaled	-0.0990011610958675
CKMT1B.rescaled	-0.09899943913861053
SGPP1.rescaled	-0.09896005277106076
PPY.rescaled	0.09879505773968089
UGT2B17.rescaled	-0.09864176274957949
TMC5.rescaled	-0.09851269970549355
ODF4.rescaled	0.09846667833831522
FAM83B.rescaled	0.0984125830419304
TRAPPC9.rescaled	0.0982045124778306
CTNND2.rescaled	-0.09819093271996908
SPOCD1.rescaled	0.09817419131973751
CFHR1.rescaled	-0.09816703526394915
MADCAM1.rescaled	0.09816165149706668
RFXAP.rescaled	-0.09809468853470793
DUSP9.rescaled	0.09782975403398278
TFDP3.rescaled	0.09769825267499238
UMODL1.rescaled	0.09765416680016384
STMN1.rescaled	0.09754660693516826
GALNT3.rescaled	-0.09754208372606374
OBP2A.rescaled	0.09745519222829635
FAM71F1.rescaled	0.09744079022358947
C1QTNF9B.rescaled	-0.0973380313923329
TMEM26.rescaled	-0.09723210486378894
SLC24A5.rescaled	-0.09708025055341786
CES3.rescaled	0.09695100669003176
MITF.rescaled	0.09688399458906886
CNGA3.rescaled	-0.09668970490444476
COL23A1.rescaled	-0.09660374446816523
ZNF132.rescaled	0.09655766025784644
TONSL.rescaled	0.09654976878883387
PCDHGA2.rescaled	0.09654517683497937
KLHDC7A.rescaled	-0.0963488719690616
C1orf112.rescaled	0.09632404562178645
ESYT3.rescaled	0.09629596646990717
PGAM2.rescaled	0.09621659276847906
RIPK2.rescaled	0.09619466552081427
SFRP5.rescaled	-0.0961774204940487
ITGA2B.rescaled	0.09612158693933756
TNFSF18.rescaled	-0.09597740095776397
TAS2R31.rescaled	-0.09592662203309389
FAM72A.rescaled	0.09587108790157788
MS4A15.rescaled	0.09579759330010643
ZC3H3.rescaled	0.09563913752316763
EPHX1.rescaled	0.09553800969824283
CST9.rescaled	-0.09548272332596752
QDPR.rescaled	-0.09521509328804421
PMPCB.rescaled	-0.09520400770869454
ASCL2.rescaled	0.09504610198551439
FCER2.rescaled	0.09502382742588168
VPREB3.rescaled	0.09500363057107736
SDS.rescaled	0.09498759410942811
SLC38A3.rescaled	0.09495014870220081
TMEM63C.rescaled	-0.09478564903262666
GAL3ST2.rescaled	0.09466427168600494
BEND6.rescaled	-0.09431384647593143
C11orf42.rescaled	-0.09425336252880831
S100A7.rescaled	0.09425198501851523
WNT5A.rescaled	-0.09417298024863538
C1orf116.rescaled	0.09416808051817319
BDNF.rescaled	0.09408345790541377
RDM1.rescaled	0.09377885262985691
TMEM31.rescaled	0.09377752588075032
FAR2.rescaled	-0.09361083115462764
CASQ1.rescaled	-0.09360937708565899
LUZP2.rescaled	-0.09330871391032187
HSPB9.rescaled	0.09318443484634253
APOL5.rescaled	-0.09309981436570111
GPRC5D.rescaled	0.09304474512226041
RANBP3L.rescaled	-0.09281108708480827
NKAIN4.rescaled	-0.0927810032995337
MYBL2.rescaled	0.09277952527969639
GABRR2.rescaled	-0.09269446696435234
CASP6.rescaled	-0.09225727681278312
NAT8L.rescaled	-0.09198610686145989
GRPR.rescaled	-0.09196601938920175
DPM3.rescaled	-0.09178806503085643
FOXD4.rescaled	0.09178665650152588
LFNG.rescaled	0.0916436871150134
NPFFR2.rescaled	-0.09117416996787138
HYAL3.rescaled	0.09096482713713545
TMEM40.rescaled	0.09070343408559324
RET.rescaled	0.09068521001080103
ARHGEF38.rescaled	-0.09067877779274192
EIF3J.rescaled	-0.09047695545975487
RAB40AL.rescaled	-0.08971324614065733
SLIT1.rescaled	0.0896464404678261
ERP27.rescaled	-0.08959426667925537
TSPEAR.rescaled	0.08956219942498636
OBP2B.rescaled	0.0895403586272887
USP50.rescaled	-0.08950414326065194
PLEKHG4B.rescaled	0.08949970202147861
TTLL12.rescaled	-0.089467589922438
VSIG8.rescaled	-0.08928273953322965
C12orf50.rescaled	0.08916720226170947
TIMMDC1.rescaled	0.08909657265127659
LMO3.rescaled	0.08902228523786594
PRLH.rescaled	0.0890203972316015
DDIT4.rescaled	-0.08895834553726394
KREMEN2.rescaled	0.08884357137773373
SYT3.rescaled	0.0888084728338159
ZNF488.rescaled	0.08876896591696411
MUC13.rescaled	-0.08871614781866224
SPNS3.rescaled	-0.08871338627462831
SLC7A3.rescaled	-0.08865760287272773
CLVS1.rescaled	0.0886419914794012
CCNO.rescaled	-0.08864031485097755
CALN1.rescaled	0.08855273639949285
GJB1.rescaled	-0.0885486196765758
CAMK2B.rescaled	0.0884600702153758
LCNL1.rescaled	-0.08842988852562852
STK31.rescaled	0.08838809097686239
TEX11.rescaled	-0.08830571863240799
RGL3.rescaled	0.08828718790599568
SUMO4.rescaled	0.08823434983951406
GOLGA6L1.rescaled	-0.08820811267865465
SLC2A13.rescaled	-0.08818491469033878
NME9.rescaled	0.08816660747902187
CCL11.rescaled	-0.08813441771325124
CELSR3.rescaled	0.08811797840476408
ASIP.rescaled	0.08808533030686512
CCDC160.rescaled	-0.08802697168197082
HRH4.rescaled	0.08800613287086478
NXNL2.rescaled	-0.08797072335092053
SCN2A.rescaled	0.08795520326122365
EMB.rescaled	-0.08791666809877449
UBXN7.rescaled	0.0878397509223276
SAA2.rescaled	-0.08775528858769197
ITGB1BP2.rescaled	-0.08767996415997843
SYN2.rescaled	-0.08761551842356875
ELOVL3.rescaled	0.08752808480148408
RPA4.rescaled	-0.08752367700745216
C4orf19.rescaled	0.08750300755122996
NPPA.rescaled	-0.08745934275367341
ZNF34.rescaled	0.0873281082552112
GSTM1.rescaled	-0.08726721816752346
FSIP1.rescaled	-0.087142386366438
MTTP.rescaled	-0.08709280028870894
VAT1L.rescaled	-0.08707381265415509
SLC30A8.rescaled	-0.08700889707774062
FGB.rescaled	0.0869653778898879
RGPD4.rescaled	0.08692255548537034
ZNF250.rescaled	0.08690234438300053
IL3RA.rescaled	-0.08690125975657864
RAD54B.rescaled	0.08686960719036221
ANO7.rescaled	0.08672271744189693
ARL17B.rescaled	-0.08672156950784728
SYCE2.rescaled	0.08672010416030228
DHRS1.rescaled	-0.08669673804893202
ACSM5.rescaled	-0.08666305844059924
CCHCR1.rescaled	0.08665993007587519
NEK10.rescaled	-0.08658482988570317
GOLGA7B.rescaled	0.08656713770927058
HAVCR1.rescaled	-0.08656296372833731
FOSB.rescaled	-0.08647274612082993
KAZALD1.rescaled	0.0864580930537676
BCAN.rescaled	0.08641831698054285
HIGD1C.rescaled	0.08634698669864768
ANKRD22.rescaled	-0.08626640726094657
EME1.rescaled	0.08625772814306604
IL20.rescaled	-0.08608263718857445
DACH1.rescaled	-0.08602137792288907
IRGM.rescaled	0.08585949525141917
FAM47E.rescaled	-0.08578036153894261
CISD2.rescaled	-0.08574509700065147
RUNDC3B.rescaled	-0.08571734778972104
SLC13A2.rescaled	-0.08565990895396068
CNTF.rescaled	0.08552294854722199
MYO1A.rescaled	-0.08549352437031289
PDLIM4.rescaled	0.08541345390651929
TMEM179.rescaled	-0.08540672632587527
MYH7B.rescaled	-0.08537753174412292
STOX1.rescaled	-0.08533050552799733
FOXN4.rescaled	0.08529272167542018
SLC25A16.rescaled	-0.08522973087191471
SNX25.rescaled	-0.08522464272214586
C11orf91.rescaled	0.08516124612949605
PPP2R2C.rescaled	-0.08514001872115656
ZNF608.rescaled	-0.08504289375642488
RGS7.rescaled	0.08497729124174135
RPRM.rescaled	-0.08496129149891385
TROAP.rescaled	0.08495612228982241
ANO2.rescaled	-0.08490615869320822
THOC3.rescaled	0.08486132850541338
KCNE2.rescaled	0.08480536970183691
TUT1.rescaled	-0.08473914187608245
SLC6A9.rescaled	0.08470502318760167
C6orf141.rescaled	0.0845104823816561
ZNF623.rescaled	0.08450980207322735
FASN.rescaled	-0.08449856471374069
LRRC73.rescaled	0.08435237456870302
PIP5K1B.rescaled	0.08433743362225753
SMARCAL1.rescaled	0.08409698743656038
VSTM1.rescaled	-0.08402584174021926
FAM186A.rescaled	-0.08398420861420385
SREK1IP1.rescaled	-0.08397317213800642
TDGF1.rescaled	-0.08395533822625496
HCN2.rescaled	0.08389368508883777
GJB5.rescaled	0.08377738801314567
PSPN.rescaled	0.08374592778301428
CPNE3.rescaled	0.08372170409436933
ARHGEF3.rescaled	-0.08361085741604356
TNFRSF11A.rescaled	0.08358947879677978
BUB1.rescaled	0.08353601433834858
MANSC4.rescaled	0.08353540344126538
RPS26.rescaled	0.0835336109808263
HTR1F.rescaled	-0.08353349949257713
GLB1L3.rescaled	0.08347410573249862
P2RX3.rescaled	-0.08345157920600593
HPGD.rescaled	-0.083436794513778
LRP1B.rescaled	0.08340707276273036
THRSP.rescaled	0.08335526446964077
DGKH.rescaled	-0.08333812771678581
TUBA3D.rescaled	-0.08331023960072036
HSD17B13.rescaled	-0.08323262750523935
KIAA1586.rescaled	-0.08320586078634522
MAGI3.rescaled	-0.08315952800495287
IGSF5.rescaled	0.083134463168386
TRIM66.rescaled	-0.0829808284064851
NOL4.rescaled	0.08287751615157102
KIF17.rescaled	-0.08279981067967865
SOHLH2.rescaled	-0.08254462442570391
XRCC2.rescaled	0.0822330900582665
SYNPO2L.rescaled	0.08219451187690636
A2ML1.rescaled	0.08216487298741845
ALOX15B.rescaled	0.0821494126982184
ADCY5.rescaled	-0.08214385016052578
HYDIN.rescaled	-0.08208478591019805
TNNI3.rescaled	-0.08205748246998147
C7orf57.rescaled	0.08199769308247074
LIN28A.rescaled	-0.08194090510507884
NEIL3.rescaled	0.08187909041056367
NOX5.rescaled	-0.08180419979426054
GAS2.rescaled	-0.08177513226411148
DDTL.rescaled	-0.0817733631123461
TDRD5.rescaled	0.08176478324090783
IDO2.rescaled	0.08171444138239135
OPN4.rescaled	-0.08167974622621947
C1orf53.rescaled	-0.08166679836116271
RGS9.rescaled	0.08160775529841098
FOXD4L6.rescaled	0.08157208333740658
USP53.rescaled	-0.08150329832722851
SYCP3.rescaled	-0.08150137445002696
CYP4Z1.rescaled	0.0814826525257833
PCDH17.rescaled	-0.08142005256100548
SLC46A3.rescaled	-0.08140218007559472
TMPRSS6.rescaled	-0.08137605299637789
CLC.rescaled	0.08135776502345916
CLEC3A.rescaled	-0.08118334560930451
E2F7.rescaled	0.08110850636057652
LPAR3.rescaled	-0.08100986251153658
SLC35D2.rescaled	-0.08095605152957298
PRSS21.rescaled	-0.08089951596957207
RABEP2.rescaled	-0.08073535895113286
SORD.rescaled	-0.08071641427336129
RWDD1.rescaled	-0.08058276948760264
ATP6V1B1.rescaled	0.08056860281237663
AKR7A3.rescaled	-0.08055150393157547
S100A7A.rescaled	0.08053769358550268
RXFP1.rescaled	-0.08053489408930704
SPOCK3.rescaled	-0.0803348715045043
CXADR.rescaled	0.08033178056520536
PLA2G2A.rescaled	0.08029509254724872
WFDC2.rescaled	-0.08022143255601921
SYT16.rescaled	0.08019161681982033
GINS1.rescaled	0.08014659956785365
WBP4.rescaled	-0.08012137736666507
CHST8.rescaled	0.07995992524238553
IL12A.rescaled	0.07993709384957892
DLX4.rescaled	0.07989464701762036
MRGPRE.rescaled	-0.0798926919899065
PGRMC2.rescaled	-0.07988738521461541
GSDMA.rescaled	-0.07983761746325713
SHISA8.rescaled	0.07983673493122723
HEMK1.rescaled	-0.07983253423064603
ACBD7.rescaled	0.0797000230778142
ALPK2.rescaled	-0.07966526812056084
POLR2D.rescaled	0.0796392879143709
FHOD1.rescaled	-0.07959324415537682
MUC4.rescaled	-0.07950569222388051
SERPINE1.rescaled	-0.07947488006708008
TSPAN32.rescaled	-0.07908095769112922
