	SHAP Value
KIF13B.rescaled	-0.0006182797340411214
TNFRSF9.rescaled	0.0006182195287241674
TMEM232.rescaled	-0.0006178802849011124
TOX3.rescaled	-0.0006175333439706436
MAPT.rescaled	-0.0006173614254602586
TPX2.rescaled	0.0006171060451902907
OASL.rescaled	0.000616993880182301
TMEM88.rescaled	-0.000616893113423312
TGFBR3.rescaled	-0.0006142909624881621
ARHGEF38.rescaled	-0.0006140346220528223
SAMD15.rescaled	-0.0006133297217137213
GPR84.rescaled	0.0006131477898203429
SLC7A2.rescaled	-0.0006123083118507427
SLITRK6.rescaled	-0.000612198717301116
LRP2.rescaled	-0.0006118784737877099
GP2.rescaled	-0.0006116253938373346
GFRA1.rescaled	-0.00061077451989511
CYB5D2.rescaled	-0.0006098127559020398
ZBTB4.rescaled	-0.0006097908671190369
CBX2.rescaled	0.000609623429289945
EMCN.rescaled	-0.0006093733972241536
MYH11.rescaled	-0.0006085042567712312
KIF4A.rescaled	0.000608292991491853
SLC25A19.rescaled	0.0006080597982218318
STAT1.rescaled	0.0006079407003671093
IL20RA.rescaled	-0.0006070393436466841
CELSR1.rescaled	-0.000606903459071452
SLC2A6.rescaled	0.0006068250956940502
NME5.rescaled	-0.000606797539850695
MAMDC2.rescaled	-0.0006066216319964559
PTPRB.rescaled	-0.0006060461733494584
MELK.rescaled	0.000606011235887977
CASP12.rescaled	-0.0006052672712235877
AURKA.rescaled	0.0006052571676757114
RAB6C.rescaled	-0.0006051951552164087
PI16.rescaled	-0.0006049942407385288
TFF3.rescaled	-0.0006039162980168181
CXCL11.rescaled	0.000602808702435508
ATOH8.rescaled	-0.0006026136651961337
CENPI.rescaled	0.000600860153187278
CDON.rescaled	-0.0006002669247770184
CCNB2.rescaled	0.0005993530828800158
SLC16A3.rescaled	0.0005992421347842593
C4A.rescaled	-0.0005989301693134388
SCUBE2.rescaled	-0.0005989198219070919
ASPM.rescaled	0.000598657380991245
LAG3.rescaled	0.0005982046398185772
CDC25A.rescaled	0.0005981415006635818
NCAPG.rescaled	0.0005972699165876535
ALPK2.rescaled	0.000597034337381448
DLGAP5.rescaled	0.0005969758171447404
INMT.rescaled	-0.0005966284108740429
PREX2.rescaled	-0.0005961256055502293
IFI30.rescaled	0.0005956340329081775
PDZK1.rescaled	-0.0005954704067484293
GINS1.rescaled	0.0005951560547939399
UCP1.rescaled	-0.0005949143391989535
RABEP1.rescaled	-0.0005938052518456452
PLIN4.rescaled	-0.0005937863290582493
PACRG.rescaled	-0.000593710705008779
CLSTN2.rescaled	-0.0005935923258343522
KIF20A.rescaled	0.0005932926397780141
BUB1B.rescaled	0.0005931306051532628
E2F8.rescaled	0.0005910622763717002
HMGA1.rescaled	0.0005910375105613455
