	shap_value
GPR31.rescaled	0.0051711562147047484
FAM86B2.rescaled	0.0049330719052753024
TAT.rescaled	-0.004641594979077169
STH.rescaled	-0.004623282034908158
QRFP.rescaled	0.004291843215858457
ARHGEF38.rescaled	0.004270783740872004
METTL11B.rescaled	-0.00426626868522189
GRM4.rescaled	0.004097325228834505
DLGAP1.rescaled	-0.003916240078403871
ZFP57.rescaled	-0.003914670868265812
LDHC.rescaled	-0.0039013929123712402
VN1R1.rescaled	-0.003847714769582009
GRPR.rescaled	0.0036458559884670495
KLHDC7A.rescaled	0.0036032489423699506
GAD1.rescaled	0.003583696820184573
S100A7.rescaled	0.003579558578809303
MUC5B.rescaled	0.0033804634266268755
MTRNR2L3.rescaled	0.0033739405123012762
PRG4.rescaled	0.0033712683134518987
FAM189A1.rescaled	0.0033104634631076018
GSTM1.rescaled	0.0032433827200687225
CACNA1H.rescaled	0.0031820946390971115
GRB14.rescaled	0.003151513796436316
C6.rescaled	0.0030635062217627108
CYP4B1.rescaled	0.003034568430678961
CLEC6A.rescaled	-0.002963383749501026
GRIA2.rescaled	0.0029443846416384676
ADAMDEC1.rescaled	0.002918606585073439
PCDHA4.rescaled	0.0028894459656172984
DUSP9.rescaled	0.002847305887516402
OBP2B.rescaled	0.0027771115398150786
CST9.rescaled	0.0027651785201451046
IGFL1.rescaled	0.0027135739643052493
SYT1.rescaled	-0.0026947233812939894
OTOR.rescaled	0.002661851685075416
LRRC31.rescaled	0.0026541212472429745
IL2.rescaled	0.0026430125991081447
CBWD3.rescaled	-0.0026299902377763767
SMC1B.rescaled	0.0025966106266077545
NLRP5.rescaled	0.0025642400759565216
CYP4F11.rescaled	-0.002548235186107881
AADAC.rescaled	0.002534604781222299
NTNG1.rescaled	-0.002524869447264927
CXCR1.rescaled	0.0025247738077716036
NXNL2.rescaled	0.0025058642008598093
ATP1A4.rescaled	0.002485227468817254
CEACAM5.rescaled	-0.0024467103794916724
IGDCC3.rescaled	0.0024398766342398383
PM20D1.rescaled	0.0024372046109850886
ADAMTS8.rescaled	-0.0024371937645859465
KCNJ3.rescaled	-0.002427342323065495
SPESP1.rescaled	-0.0024151643715724217
CST1.rescaled	-0.0024067909273069146
RGPD5.rescaled	-0.0023895908766310295
RANBP3L.rescaled	0.0023797297010454055
G6PC2.rescaled	0.0023680455462274674
GHRH.rescaled	0.0023641675610614876
PLCH1.rescaled	-0.0023577500097229096
LUZP2.rescaled	0.002305265468408052
PCDHA3.rescaled	-0.00228858445110295
HRH4.rescaled	0.002198237959693536
TPSG1.rescaled	0.0021943818428264137
GAL3ST2.rescaled	0.002191155170545344
GTF2H2.rescaled	-0.0021765766030310487
CLEC4E.rescaled	-0.002176156019017087
BCL2L10.rescaled	0.0021689263754917994
MYCBPAP.rescaled	-0.0021269745505836757
RAB6C.rescaled	0.002123245285334063
LPAR3.rescaled	-0.0021002183385119702
MS4A15.rescaled	0.0020959958658007542
CCZ1B.rescaled	0.002066403412924827
DACH1.rescaled	0.002065114255582502
DEFB124.rescaled	-0.0020426181237589293
SLC16A9.rescaled	0.002034980891957197
UCP1.rescaled	-0.0020311161732416714
ARL9.rescaled	0.0020298693277697095
IGSF5.rescaled	0.0020297311417743704
IPCEF1.rescaled	-0.0020141103134452666
PLA2G2A.rescaled	0.0020086819135835443
APOL4.rescaled	-0.0020024654312455247
PRR23A.rescaled	0.002002147123815044
TMEM63C.rescaled	0.0020005936690980944
RIBC2.rescaled	0.001991874048113402
SLC24A2.rescaled	-0.0019824547493151774
PCDHA12.rescaled	0.0019790817905682473
KYNU.rescaled	0.001971688632289123
GPR19.rescaled	-0.0019593450461915817
SLC25A18.rescaled	-0.0019544760021663896
KCNE1.rescaled	0.0019361701079053824
OR52N4.rescaled	0.0019247007254762536
OR4K15.rescaled	0.0019075496379398474
C17orf50.rescaled	0.0019010917109986696
GRIK3.rescaled	-0.0018968377132960168
SORCS3.rescaled	0.0018958891985310544
SLFN13.rescaled	0.0018919983483170406
IGFL3.rescaled	-0.001891659154629174
CD38.rescaled	-0.001889787895150745
SPNS3.rescaled	-0.0018871488098891752
OBP2A.rescaled	0.0018820064694322926
KLRC3.rescaled	-0.001877029022137528
FAM156A.rescaled	0.001870730008810398
ATRNL1.rescaled	0.001866115672349624
MYO3B.rescaled	0.0018645771599343835
TMEM212.rescaled	0.0018525063966848205
WDR72.rescaled	-0.0018462439700857175
ACOT6.rescaled	-0.0018406736264905252
HSD11B1.rescaled	-0.001828785829666049
OR1L8.rescaled	0.0018277948926448161
RLN1.rescaled	0.0018273400164738188
TMEM31.rescaled	0.0018269380092450094
ANKRD30B.rescaled	-0.001822983894180227
OOEP.rescaled	-0.0018178344945145068
GLYATL1.rescaled	0.0018159139627981085
SLC30A8.rescaled	0.0018154016258489392
MYO1H.rescaled	0.0018151285431418493
RET.rescaled	-0.0017997232018145417
LILRA5.rescaled	0.0017896678555305177
SYT9.rescaled	-0.0017885811813694846
