	ALE Value
GINS1.rescaled	1.05488045e-08
KLK11.rescaled	1.04886295e-08
ACBD7.rescaled	1.046098e-08
TET1.rescaled	1.04297575e-08
CASP14.rescaled	1.0408215e-08
C19orf81.rescaled	1.0407664e-08
MAD2L1.rescaled	1.0403218e-08
TONSL.rescaled	1.0395296e-08
PLK1.rescaled	1.02702264e-08
KNDC1.rescaled	1.0137346e-08
TFPI2.rescaled	1.0068218e-08
DEPDC1.rescaled	9.967145e-09
B3GALT6.rescaled	9.964238e-09
UHRF1.rescaled	9.861686e-09
CNFN.rescaled	9.817874e-09
TM4SF18.rescaled	9.814523e-09
SSR4.rescaled	9.800283e-09
HSPA4L.rescaled	9.754361e-09
SEC14L4.rescaled	9.729579e-09
NEU4.rescaled	9.725628e-09
TTK.rescaled	9.714373e-09
CLDN14.rescaled	9.698178e-09
XKRX.rescaled	9.698109e-09
CCNB2.rescaled	9.692482e-09
SHISA2.rescaled	9.666294e-09
KIF18B.rescaled	9.634831e-09
CDCA8.rescaled	9.617063e-09
AURKA.rescaled	9.570415e-09
UBE2C.rescaled	9.563062e-09
IL1RL2.rescaled	9.555654e-09
BUB1.rescaled	9.527327e-09
WDR62.rescaled	9.4894546e-09
KBTBD4.rescaled	9.483774e-09
PLCB4.rescaled	9.481615e-09
UCP1.rescaled	9.4733785e-09
ANKRD18A.rescaled	9.444726e-09
SLC44A4.rescaled	9.372724e-09
DOCK3.rescaled	9.354804e-09
ZSCAN1.rescaled	9.3276045e-09
TAT.rescaled	9.293347e-09
UGT2B15.rescaled	9.290888e-09
CELF5.rescaled	9.286496e-09
CENPF.rescaled	9.258163e-09
PTCHD1.rescaled	9.201996e-09
ZNF669.rescaled	9.189178e-09
KIF1A.rescaled	9.155567e-09
SLC6A16.rescaled	9.148895e-09
OIP5.rescaled	9.130239e-09
NUDT3.rescaled	9.076294e-09
CKAP2L.rescaled	9.073058e-09
SPAG5.rescaled	9.052111e-09
KIF23.rescaled	9.012845e-09
MND1.rescaled	9.00967e-09
AURKB.rescaled	8.931862e-09
RECQL4.rescaled	8.8345935e-09
LIG1.rescaled	8.819693e-09
CENPM.rescaled	8.813303e-09
SLC6A2.rescaled	8.79096e-09
ZWINT.rescaled	8.788586e-09
REPS2.rescaled	8.775186e-09
SDK1.rescaled	8.766566e-09
NDC80.rescaled	8.764169e-09
ARHGAP18.rescaled	8.758857e-09
LYST.rescaled	8.7498035e-09
HMHB1.rescaled	8.724379e-09
RRM2.rescaled	8.69042e-09
ASNS.rescaled	8.61812e-09
ADRA2C.rescaled	8.61552e-09
GAL3ST2.rescaled	8.61355e-09
KNTC1.rescaled	8.5066185e-09
B3GNT9.rescaled	8.501544e-09
ABCC11.rescaled	8.484931e-09
CREB3L1.rescaled	8.479209e-09
FANCD2.rescaled	8.473226e-09
CIDEC.rescaled	8.437421e-09
RANBP17.rescaled	8.408799e-09
CEP55.rescaled	8.388241e-09
