	feature_importance
STAT1.rescaled	0.08425361506668033
TNFSF15.rescaled	0.0840905636877075
VSTM1.rescaled	-0.08407184351613355
GAS2L3.rescaled	0.08377400892036972
BUB1.rescaled	0.08366356666283335
CTAGE4.rescaled	0.08356142149854735
ORC1.rescaled	0.08350740218259606
TMEM52.rescaled	0.08335426198154297
C11orf42.rescaled	0.08334586026257447
RNF183.rescaled	0.08331981582610996
STIL.rescaled	0.08317630943290043
TOP2A.rescaled	0.0830803097105996
DRP2.rescaled	0.08307826371991237
ZFR2.rescaled	0.08303513953288161
LRTM2.rescaled	0.08303224556580441
HSP90AA1.rescaled	0.0828788930276831
BUB1B.rescaled	0.08278825667396515
CARD17.rescaled	0.08270565341525593
DHFR.rescaled	0.0825634812846829
TYRP1.rescaled	0.0823234075193264
DEPDC1.rescaled	0.08220310776168528
E2F7.rescaled	0.08218526486238442
NDC80.rescaled	0.08212900196486464
PNMA2.rescaled	-0.08212822099529714
CAPN8.rescaled	-0.08190817384553963
SEC11C.rescaled	0.08184469617986327
FAM83D.rescaled	0.08179781093174102
SPAG6.rescaled	-0.08178770514116407
SNX32.rescaled	-0.08177662575575205
MEGF10.rescaled	0.08165018299722764
MELK.rescaled	0.0815412264499864
PAPSS2.rescaled	0.08148861248771092
CLSPN.rescaled	0.08140488125378322
WDR6.rescaled	-0.08121907368991796
CDCA5.rescaled	0.08110728422078935
RNF212.rescaled	-0.08102922337334093
SKA1.rescaled	0.08100301662239488
CLGN.rescaled	-0.08092951941311229
TACC3.rescaled	0.08089107301267828
CAMK2B.rescaled	0.08081826677500524
FSCN3.rescaled	-0.08079037483197048
ASCL1.rescaled	0.08078781587987749
GIPC2.rescaled	-0.08043626281190419
HOXB6.rescaled	-0.08039732041312621
CLEC18B.rescaled	0.08026055210520519
CA4.rescaled	-0.08022475673508052
CPA6.rescaled	0.08018428264630457
HMMR.rescaled	0.08009322536668616
VTCN1.rescaled	-0.08006336225218759
GATA5.rescaled	0.07997060285478888
ZNF367.rescaled	0.0798389398995879
KIF18B.rescaled	0.0798154443843172
